P0,method,t_over_tc,n_seeds,mean_relative_l2_leakage,sample_sd
20,MIDPOINT,0.0,4,0.2220693082869523,0.0015520122533409903
20,MIDPOINT,1.0,4,0.8639735093499352,0.03375174283388265
20,MIDPOINT,2.0,4,0.6263661376959634,0.16306258737007076
20,PBME,0.0,4,0.2220693082869523,0.0015520122533409903
20,PBME,1.0,4,0.8034642331910953,0.07686738407097315
20,PBME,2.0,4,0.32031148552992594,0.033852292488404205
100,MIDPOINT,0.0,4,0.22206930828704863,0.0015520122540184326
100,MIDPOINT,1.0,4,0.9684762725447642,0.006525273042123189
100,MIDPOINT,2.0,4,0.967081166507195,0.006712255040036043
100,PBME,0.0,4,0.22206930828704863,0.0015520122540184326
100,PBME,1.0,4,0.9618606960521171,0.003120855867935378
100,PBME,2.0,4,0.9591147119501227,0.010901666500486237
