l2_regularization,N,seed,query_type,query_count,training_cloud_sha256,query_sha256,cholesky_jitter,cholesky_adaptive_jitter,cholesky_attempts,minimum_eigenvalue_estimate,sigma_n,sigma_f,lengthscales,input_scaling,hyperparameter_policy,dtype,source_file,density_relative_l1,density_relative_l2,density_relative_linf,density_mae,density_rmse,density_linf,density_denominator_floor,density_denominator_floor_used,gradient_relative_l1,gradient_relative_l2,gradient_relative_linf,gradient_mae,gradient_rmse,gradient_linf,gradient_denominator_floor,gradient_denominator_floor_used,Q_relative_l1,Q_relative_l2,Q_relative_linf,Q_mae,Q_rmse,Q_linf,Q_denominator_floor,Q_denominator_floor_used
0.01,1200,123,on_support,1200,063dfb601e1fcdb05f8a984a20babe1c2cfd2500e2b6e7f88219647663ee7c19,063dfb601e1fcdb05f8a984a20babe1c2cfd2500e2b6e7f88219647663ee7c19,1e-06,0.0,1,-19.08326522841123,0.03251516748515596,0.16363957131034776,"[1.5643739234998741,0.8629795282547227,7.38905609893065,5.593972131171963,7.38905609893065,7.38905609893065]","{""feature_mean"":[0.021292919527461006,7.997690622613166,0.01685556900526456,-0.010193748603908091,-0.004408388969852505,0.024972323665839388],""feature_std"":[1.203733819345466,0.7172602437911223,0.7073684895168386,0.7072309940210134,0.6922632345763019,0.6945141587299525],""feature_zscore"":false}","optimized once, then frozen",float64,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\manufactured\runs\l2_0p01\N1200_seed123\manufactured_operator_metrics.json,0.009014161511795103,0.009815349488086466,0.009579274903047823,8.186420200821907e-05,0.00014183180460663623,0.0008381656024188389,1e-30,False,0.013810676619491943,0.012736127816438835,0.012227196516868306,0.00014077678413726885,0.00024854145605479497,0.0021306492198091345,1e-30,False,0.02495262869204841,0.022935938526581157,0.02343588001276242,2.2104965101948312e-06,3.775667965111755e-06,2.376403049354032e-05,1e-30,False
0.01,1200,123,off_support,1000,063dfb601e1fcdb05f8a984a20babe1c2cfd2500e2b6e7f88219647663ee7c19,74755e50778941d12afa91269ce2b0a85694b9973e6fa77068f68b3ada05440d,1e-06,0.0,1,-19.08326522841123,0.03251516748515596,0.16363957131034776,"[1.5643739234998741,0.8629795282547227,7.38905609893065,5.593972131171963,7.38905609893065,7.38905609893065]","{""feature_mean"":[0.021292919527461006,7.997690622613166,0.01685556900526456,-0.010193748603908091,-0.004408388969852505,0.024972323665839388],""feature_std"":[1.203733819345466,0.7172602437911223,0.7073684895168386,0.7072309940210134,0.6922632345763019,0.6945141587299525],""feature_zscore"":false}","optimized once, then frozen",float64,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\manufactured\runs\l2_0p01\N1200_seed123\manufactured_operator_metrics.json,0.009823010397274805,0.010643461132854274,0.012110770085217984,9.74009305770952e-05,0.00017140884825919892,0.0010601796182274394,1e-30,False,0.014702734411694717,0.013583339313505754,0.011987481349434668,0.00015065575828216492,0.0002663381454491612,0.002076504306886544,1e-30,False,0.025271122563462943,0.025524751969319998,0.028126583047727662,2.2239053916467484e-06,4.045188422463117e-06,2.594300995443317e-05,1e-30,False
0.01,1200,124,on_support,1200,84c54571cd30339851d8836cbec6ab268e03f106b35f510ece2d26dc911f99bb,84c54571cd30339851d8836cbec6ab268e03f106b35f510ece2d26dc911f99bb,1e-06,0.0,1,-32.86016295562632,0.027059165808945133,0.20962000316378118,"[1.5381247571705896,0.9523885465101812,7.38905609893065,6.8480584648463765,7.38905609893065,7.38905609893065]","{""feature_mean"":[0.06786861444000272,8.041491921635398,0.02757701948820919,-0.05046918177090491,0.0028189859267179697,0.008998377298969032],""feature_std"":[1.1658473211694584,0.6962215793416696,0.7241814394531741,0.7146316945476923,0.7026268603977887,0.7168810552692161],""feature_zscore"":false}","optimized once, then frozen",float64,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\manufactured\runs\l2_0p01\N1200_seed124\manufactured_operator_metrics.json,0.006885514751884934,0.007755660663467981,0.008671584462238017,6.138705380059586e-05,0.0001056145070158882,0.0006656283587343839,1e-30,False,0.011232554067595813,0.010164796933054464,0.011954149436633654,0.00011656053177460472,0.00020458317656005102,0.0020470839303156282,1e-30,False,0.023849713769539715,0.023823434351344173,0.030580651117097995,1.950988058230225e-06,3.389745104166711e-06,2.8174225060319832e-05,1e-30,False
0.01,1200,124,off_support,1000,84c54571cd30339851d8836cbec6ab268e03f106b35f510ece2d26dc911f99bb,ddd9abbe44e57e964cfd0efc3cd42cb2f84951523ff0013e50f234277223f8b2,1e-06,0.0,1,-32.86016295562632,0.027059165808945133,0.20962000316378118,"[1.5381247571705896,0.9523885465101812,7.38905609893065,6.8480584648463765,7.38905609893065,7.38905609893065]","{""feature_mean"":[0.06786861444000272,8.041491921635398,0.02757701948820919,-0.05046918177090491,0.0028189859267179697,0.008998377298969032],""feature_std"":[1.1658473211694584,0.6962215793416696,0.7241814394531741,0.7146316945476923,0.7026268603977887,0.7168810552692161],""feature_zscore"":false}","optimized once, then frozen",float64,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\manufactured\runs\l2_0p01\N1200_seed124\manufactured_operator_metrics.json,0.007524799562101869,0.008078197871557571,0.012581773618952753,7.097705030120235e-05,0.00011745052650494448,0.0010017144347863097,1e-30,False,0.0118276032326228,0.010919293319612075,0.01836483432915427,0.00012751447180598766,0.00022338601538874438,0.003080515645798796,1e-30,False,0.02377306434058742,0.023403220358968642,0.02595913789575458,2.122699817452588e-06,3.714950833971107e-06,2.5454153811298717e-05,1e-30,False
0.01,1200,125,on_support,1200,0d6d575ed969e8d3ec6c0a7f4778542dfd4957a2ac69df24ca2a997c7938d304,0d6d575ed969e8d3ec6c0a7f4778542dfd4957a2ac69df24ca2a997c7938d304,1e-06,0.0,1,-34.35134329651538,0.015328048667557838,0.219191351706272,"[1.4460591500369948,0.955398121708097,7.38905609893065,7.38905609893065,7.38905609893065,2.8358692624685005]","{""feature_mean"":[-0.047879552015777115,7.982687639651939,-0.010477301587018286,-0.015734500774684152,-0.028954983210416063,0.020190636319006215],""feature_std"":[1.1948074684188015,0.6684702685186628,0.7066859980249434,0.6893935596348596,0.6947640212359087,0.7075409012129575],""feature_zscore"":false}","optimized once, then frozen",float64,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\manufactured\runs\l2_0p01\N1200_seed125\manufactured_operator_metrics.json,0.004468481652253114,0.005385440142028569,0.00898574754242533,4.216659818264247e-05,7.817207570267394e-05,0.0006708908437732261,1e-30,False,0.007924312663567388,0.007458699347986119,0.011388115631740012,8.630780636176539e-05,0.00015577480108829538,0.0019013681238003368,1e-30,False,0.01767731155676635,0.01750464735882106,0.028068584195625527,1.5869074420811605e-06,2.752048287803473e-06,2.7389450838931188e-05,1e-30,False
0.01,1200,125,off_support,1000,0d6d575ed969e8d3ec6c0a7f4778542dfd4957a2ac69df24ca2a997c7938d304,53bd306308659107ffdf4b350db2bb9b81a166bb1e98f852097299673157298c,1e-06,0.0,1,-34.35134329651538,0.015328048667557838,0.219191351706272,"[1.4460591500369948,0.955398121708097,7.38905609893065,7.38905609893065,7.38905609893065,2.8358692624685005]","{""feature_mean"":[-0.047879552015777115,7.982687639651939,-0.010477301587018286,-0.015734500774684152,-0.028954983210416063,0.020190636319006215],""feature_std"":[1.1948074684188015,0.6684702685186628,0.7066859980249434,0.6893935596348596,0.6947640212359087,0.7075409012129575],""feature_zscore"":false}","optimized once, then frozen",float64,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\manufactured\runs\l2_0p01\N1200_seed125\manufactured_operator_metrics.json,0.005522432713093677,0.006212367673615907,0.010380266467236858,5.362539687429393e-05,9.544506753630995e-05,0.0007900301043430671,1e-30,False,0.008968953535494236,0.008309176650705836,0.010942934593586844,9.594567966143632e-05,0.00017009135939078312,0.001971090291767622,1e-30,False,0.019496496785926867,0.021020744748173358,0.026698035183210723,1.7172497405515646e-06,3.294729346213988e-06,2.6830465278601196e-05,1e-30,False
0.01,2400,123,on_support,2400,52acb3c94df8de09c0a48bda3f3958bc6d50b5a6272b5564ed87dbc286c4c46d,52acb3c94df8de09c0a48bda3f3958bc6d50b5a6272b5564ed87dbc286c4c46d,1e-06,0.0,1,-47.89149604157555,0.03091112543907174,0.18671352595752974,"[1.5594176301299298,0.9059853920256359,7.38905609893065,1.8211251435682827,7.38905609893065,7.38905609893065]","{""feature_mean"":[0.008666993432168243,8.001355712087076,0.012893195205570161,0.021474470189335088,0.0005433051865080755,-0.015082876849515104],""feature_std"":[1.2167955905988423,0.6928532998815441,0.7161772387587984,0.7070455152195663,0.7031212036969062,0.6907628194616069],""feature_zscore"":false}","optimized once, then frozen",float64,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\manufactured\runs\l2_0p01\N2400_seed123\manufactured_operator_metrics.json,0.0072314692991629174,0.007507373456128844,0.009441734076973077,6.854242470816669e-05,0.00011076898021270451,0.0008337410800235293,1e-30,False,0.012644056148802804,0.01119740394737859,0.011255436420976804,0.0001309476248274524,0.0002207346096576768,0.002088465385970218,1e-30,False,0.025725757675532517,0.024180785566209367,0.031540292616362375,2.3839250458677097e-06,4.175205605685952e-06,3.3701551567066564e-05,1e-30,False
0.01,2400,123,off_support,1000,52acb3c94df8de09c0a48bda3f3958bc6d50b5a6272b5564ed87dbc286c4c46d,e03a2ef220906743d2796effc45e1d642fe8fac6e4c32e943075254ffa15a45d,1e-06,0.0,1,-47.89149604157555,0.03091112543907174,0.18671352595752974,"[1.5594176301299298,0.9059853920256359,7.38905609893065,1.8211251435682827,7.38905609893065,7.38905609893065]","{""feature_mean"":[0.008666993432168243,8.001355712087076,0.012893195205570161,0.021474470189335088,0.0005433051865080755,-0.015082876849515104],""feature_std"":[1.2167955905988423,0.6928532998815441,0.7161772387587984,0.7070455152195663,0.7031212036969062,0.6907628194616069],""feature_zscore"":false}","optimized once, then frozen",float64,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\manufactured\runs\l2_0p01\N2400_seed123\manufactured_operator_metrics.json,0.00792408857803495,0.008146642411172272,0.007413902473680579,6.979831459382957e-05,0.00010769356033514364,0.0006080357824234228,1e-30,False,0.0132621618384783,0.011771855661725823,0.014063409132058297,0.00013321069130639522,0.0002210174134546131,0.002164787268461105,1e-30,False,0.024650446764386606,0.02355854130736273,0.030729200995402547,2.088559816196613e-06,3.60599976862921e-06,2.9645223384164917e-05,1e-30,False
0.01,2400,124,on_support,2400,28cf1ad45460244726c185dc43f531a64983e5032655533c03ff1516af012a0b,28cf1ad45460244726c185dc43f531a64983e5032655533c03ff1516af012a0b,1e-06,0.0,1,-67.32526811443796,0.018482104140847538,0.23990735648755107,"[1.6354682647326173,0.9015680097782128,7.38905609893065,1.2106276220776038,7.38905609893065,1.5159385585290948]","{""feature_mean"":[0.06949881147892181,7.998083275302627,-0.006441260620387233,0.006986472650267917,-0.001886679063334935,0.014374777290883548],""feature_std"":[1.17976729581399,0.7123228835317762,0.7127973925383655,0.7042119918458798,0.6880098160890806,0.7027765991315863],""feature_zscore"":false}","optimized once, then frozen",float64,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\manufactured\runs\l2_0p01\N2400_seed124\manufactured_operator_metrics.json,0.0045947980747524115,0.0053750938632851925,0.009975038619298054,4.271009341527041e-05,7.78546857681809e-05,0.0008333046821769816,1e-30,False,0.010008315873247272,0.009599094470923188,0.01881739429483641,0.00010484659509627509,0.00019040540100511243,0.0034102775488521545,1e-30,False,0.0227787750308067,0.020391401779828563,0.021787519452459443,2.0275362491818327e-06,3.239126166221292e-06,2.2868717194580415e-05,1e-30,False
0.01,2400,124,off_support,1000,28cf1ad45460244726c185dc43f531a64983e5032655533c03ff1516af012a0b,bdb318e424b7e2258c24820a8bc5616600eef7a62387b61b702263ea821aee17,1e-06,0.0,1,-67.32526811443796,0.018482104140847538,0.23990735648755107,"[1.6354682647326173,0.9015680097782128,7.38905609893065,1.2106276220776038,7.38905609893065,1.5159385585290948]","{""feature_mean"":[0.06949881147892181,7.998083275302627,-0.006441260620387233,0.006986472650267917,-0.001886679063334935,0.014374777290883548],""feature_std"":[1.17976729581399,0.7123228835317762,0.7127973925383655,0.7042119918458798,0.6880098160890806,0.7027765991315863],""feature_zscore"":false}","optimized once, then frozen",float64,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\manufactured\runs\l2_0p01\N2400_seed124\manufactured_operator_metrics.json,0.005893326880756869,0.007104604954297299,0.02096923176857672,5.576330808154707e-05,0.00010914731645132912,0.0019662472814611174,1e-30,False,0.011225936657131723,0.010746388736969512,0.014414942968333252,0.00011407283645596114,0.0002080885548249996,0.002709287784987885,1e-30,False,0.02190433991741812,0.018771079492312118,0.025944516245163283,2.003903684041065e-06,3.174270417785927e-06,3.1359599121816295e-05,1e-30,False
