l2_regularization,baseline_l2,N,seed,query_type,metric,value,baseline_value,paired_difference,paired_percent_change,paired_training_cloud,paired_query_cloud,source_csv
0.01,1e-06,1200,123,on_support,density_relative_l1,0.009014161511795103,0.008934996354744611,7.91651570504915e-05,0.886012191918284,True,True,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\manufactured\manufactured_complete.csv
0.01,1e-06,1200,123,on_support,density_relative_l2,0.009815349488086466,0.009694502821452441,0.00012084666663402487,1.2465483672521072,True,True,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\manufactured\manufactured_complete.csv
0.01,1e-06,1200,123,on_support,density_relative_linf,0.009579274903047823,0.00923152333319424,0.00034775156985358303,3.7670009304223466,True,True,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\manufactured\manufactured_complete.csv
0.01,1e-06,1200,123,on_support,density_mae,8.186420200821907e-05,8.114524524221108e-05,7.189567660079887e-07,0.8860121919182928,True,True,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\manufactured\manufactured_complete.csv
0.01,1e-06,1200,123,on_support,density_rmse,0.00014183180460663623,0.00014008557021832392,1.7462343883123139e-06,1.246548367252102,True,True,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\manufactured\manufactured_complete.csv
0.01,1e-06,1200,123,on_support,density_linf,0.0008381656024188389,0.0008077381006519058,3.0427501766933096e-05,3.7670009304223484,True,True,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\manufactured\manufactured_complete.csv
0.01,1e-06,1200,123,on_support,gradient_relative_l1,0.013810676619491943,0.013857776593611381,-4.709997411943799e-05,-0.33988117647351673,True,True,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\manufactured\manufactured_complete.csv
0.01,1e-06,1200,123,on_support,gradient_relative_l2,0.012736127816438835,0.01273316666630034,2.961150138494628e-06,0.02325541019055081,True,True,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\manufactured\manufactured_complete.csv
0.01,1e-06,1200,123,on_support,gradient_relative_linf,0.012227196516868306,0.01290138053983117,-0.0006741840229628638,-5.225673491929153,True,True,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\manufactured\manufactured_complete.csv
0.01,1e-06,1200,123,on_support,gradient_mae,0.00014077678413726885,0.00014125688971588506,-4.801055786162118e-07,-0.3398811764734909,True,True,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\manufactured\manufactured_complete.csv
0.01,1e-06,1200,123,on_support,gradient_rmse,0.00024854145605479497,0.0002484836701580431,5.778589675184019e-08,0.023255410190571722,True,True,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\manufactured\manufactured_complete.csv
0.01,1e-06,1200,123,on_support,gradient_linf,0.0021306492198091345,0.0022481291065969133,-0.00011747988678777882,-5.225673491929163,True,True,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\manufactured\manufactured_complete.csv
0.01,1e-06,1200,123,on_support,Q_relative_l1,0.02495262869204841,0.02524367906428308,-0.0002910503722346712,-1.1529633675563329,True,True,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\manufactured\manufactured_complete.csv
0.01,1e-06,1200,123,on_support,Q_relative_l2,0.022935938526581157,0.022875730420702445,6.0208105878711143e-05,0.26319643032785106,True,True,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\manufactured\manufactured_complete.csv
