l2_regularization,N,query_type,metric,n_seeds,seeds,mean,sample_sd,standard_error,ci95_low,ci95_high,confidence_interval_method,baseline_l2_regularization,mean_paired_difference_from_baseline,paired_difference_sample_sd,paired_difference_standard_error,paired_difference_ci95_low,paired_difference_ci95_high,paired_training_and_query_clouds_verified,source_csv
1e-06,300,off_support,density_relative_l1,3,"[123,124,125]",0.004509036869217487,0.003493588084650534,0.002017024021110655,-0.004169517041076961,0.013187590779511935,"two-sided Student t, df=n-1",1e-06,0.0,0.0,0.0,0.0,0.0,True,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\manufactured\manufactured_complete.csv
1e-06,300,off_support,density_relative_l2,3,"[123,124,125]",0.006985731763614419,0.0067941808482384755,0.003922622141653484,-0.00989194910173747,0.02386341262896631,"two-sided Student t, df=n-1",1e-06,0.0,0.0,0.0,0.0,0.0,True,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\manufactured\manufactured_complete.csv
1e-06,300,off_support,density_relative_linf,3,"[123,124,125]",0.015241457223671014,0.01907839586373655,0.01101491698763454,-0.032151905420551144,0.06263481986789317,"two-sided Student t, df=n-1",1e-06,0.0,0.0,0.0,0.0,0.0,True,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\manufactured\manufactured_complete.csv
1e-06,300,off_support,density_mae,3,"[123,124,125]",4.138746152717425e-05,3.146899254376356e-05,1.8168631316268217e-05,-3.678584960061e-05,0.00011956077265495849,"two-sided Student t, df=n-1",1e-06,0.0,0.0,0.0,0.0,0.0,True,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\manufactured\manufactured_complete.csv
1e-06,300,off_support,density_rmse,3,"[123,124,125]",9.801101334900144e-05,9.362292931891443e-05,5.405322344459656e-05,-0.00013456123605376744,0.0003305832627517703,"two-sided Student t, df=n-1",1e-06,0.0,0.0,0.0,0.0,0.0,True,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\manufactured\manufactured_complete.csv
1e-06,300,off_support,density_linf,3,"[123,124,125]",0.0013352583793061208,0.00174498224211105,0.0010074659672139315,-0.0029995178146028654,0.005670034573215107,"two-sided Student t, df=n-1",1e-06,0.0,0.0,0.0,0.0,0.0,True,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\manufactured\manufactured_complete.csv
1e-06,300,off_support,gradient_relative_l1,3,"[123,124,125]",0.007525191325655303,0.006197852992543485,0.003578332093642709,-0.00787112902481581,0.022921511676126414,"two-sided Student t, df=n-1",1e-06,0.0,0.0,0.0,0.0,0.0,True,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\manufactured\manufactured_complete.csv
1e-06,300,off_support,gradient_relative_l2,3,"[123,124,125]",0.009897758572676005,0.0091339030264015,0.005273461371044843,-0.012792114390397248,0.032587631535749256,"two-sided Student t, df=n-1",1e-06,0.0,0.0,0.0,0.0,0.0,True,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\manufactured\manufactured_complete.csv
1e-06,300,off_support,gradient_relative_linf,3,"[123,124,125]",0.027387341020555105,0.020343159381018786,0.011745128544798656,-0.023147868373354908,0.07792255041446512,"two-sided Student t, df=n-1",1e-06,0.0,0.0,0.0,0.0,0.0,True,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\manufactured\manufactured_complete.csv
1e-06,300,off_support,gradient_mae,3,"[123,124,125]",7.864131650590161e-05,6.437924073705781e-05,3.716937196976405e-05,-8.128558326089492e-05,0.00023856821627269814,"two-sided Student t, df=n-1",1e-06,0.0,0.0,0.0,0.0,0.0,True,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\manufactured\manufactured_complete.csv
