method,reference,P0,seed,snapshot,quantity,bandwidth_R,bandwidth_P,raw_raw_mass_reference,raw_raw_mass_estimate,raw_E1,raw_E2,raw_Einf,shape_raw_mass_reference,shape_raw_mass_estimate,shape_E1,shape_E2,shape_Einf,paired_initial_cloud_sha256,production_npz,reference_npz
PBME,TDSE,20.0,11,snap_012000,nuclear R marginal,0.4125304420080807,,1.0000000000138565,1.0000000000011635,0.2450988132466737,0.20847915670156764,0.21292198090038206,1.0000000000000002,0.9999999999999999,0.24509881324516664,0.2084791566981911,0.21292198089067768,dc09cb6f76c9928c05538fe9dd912facb207d98b1dd6db399a959ee5f9924e0f,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\reviewer_closure_20260726_174927\step9_repl_P020\seed11\pbme.npz,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\reference_tdse\tdse_time_P020.npz
PBME,QCLE,20.0,11,snap_012000,mapping-integrated R-P density,0.5193450565826528,0.43482673105779385,1.0000128967117135,1.0000000000011635,0.7541632365941278,0.5770251812498688,0.5642266966558409,1.0000000000000002,1.0,0.7541630726455468,0.577022952770543,0.5642210766136823,dc09cb6f76c9928c05538fe9dd912facb207d98b1dd6db399a959ee5f9924e0f,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\reviewer_closure_20260726_174927\step9_repl_P020\seed11\pbme.npz,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\reference_grid_qcle\qcle_time_P020.npz
MIDPOINT,TDSE,20.0,11,snap_012000,nuclear R marginal,0.4125304849360301,,1.0000000000138565,1.0044057350373146,0.8531063182121236,0.857754314232489,1.236871835181391,1.0000000000000002,1.0,0.8512673085711149,0.8549057297273329,1.2311011099994604,dc09cb6f76c9928c05538fe9dd912facb207d98b1dd6db399a959ee5f9924e0f,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\reviewer_closure_20260726_174927\step9_repl_P020\seed11\midpoint.npz,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\reference_tdse\tdse_time_P020.npz
MIDPOINT,QCLE,20.0,11,snap_012000,mapping-integrated R-P density,0.5193451106257392,0.43482682927359334,1.0000128967117135,1.004405735037315,1.0691664863268906,1.1176335551307621,1.3555421956625764,1.0000000000000002,0.9999999999999998,1.0675707566015498,1.1146958325778424,1.3494692709348564,dc09cb6f76c9928c05538fe9dd912facb207d98b1dd6db399a959ee5f9924e0f,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\reviewer_closure_20260726_174927\step9_repl_P020\seed11\midpoint.npz,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\reference_grid_qcle\qcle_time_P020.npz
PBME,TDSE,20.0,29,snap_012000,nuclear R marginal,0.41961880213800934,,1.0000000000138565,1.0000000000011666,0.25442414432218285,0.20567200206464578,0.18927807303171337,1.0000000000000002,1.0000000000000002,0.25442414432054217,0.205672002061107,0.18927807302149235,a18db5b9793f36cab014e8aae3cd0d6da85dc8c9c912243b6182e8c3279ed749,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\reviewer_closure_20260726_174927\step9_repl_P020\seed29\pbme.npz,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\reference_tdse\tdse_time_P020.npz
PBME,QCLE,20.0,29,snap_012000,mapping-integrated R-P density,0.5282687732781686,0.45107093918008273,1.0000128967117135,1.000000000001167,0.7567613025708628,0.5829465541353909,0.5669176107946318,1.0000000000000002,0.9999999999999998,0.7567611420001432,0.5829442521752574,0.5669120254564154,a18db5b9793f36cab014e8aae3cd0d6da85dc8c9c912243b6182e8c3279ed749,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\reviewer_closure_20260726_174927\step9_repl_P020\seed29\pbme.npz,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\reference_grid_qcle\qcle_time_P020.npz
MIDPOINT,TDSE,20.0,29,snap_012000,nuclear R marginal,0.4196188503300138,,1.0000000000138565,0.4393996574058676,0.7547541559966006,0.7159306098145787,0.7469428913787028,1.0000000000000002,1.0,1.400726431649343,1.2612962782206874,1.4042612710278801,a18db5b9793f36cab014e8aae3cd0d6da85dc8c9c912243b6182e8c3279ed749,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\reviewer_closure_20260726_174927\step9_repl_P020\seed29\midpoint.npz,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\reference_tdse\tdse_time_P020.npz
MIDPOINT,QCLE,20.0,29,snap_012000,mapping-integrated R-P density,0.5282688339483077,0.4510710760095316,1.0000128967117135,0.43939965740586767,0.852365295441447,0.7018772673897878,0.682043743427708,1.0000000000000002,1.0,1.1396948449013358,1.0365935042736614,1.1428159555474844,a18db5b9793f36cab014e8aae3cd0d6da85dc8c9c912243b6182e8c3279ed749,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\reviewer_closure_20260726_174927\step9_repl_P020\seed29\midpoint.npz,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\reference_grid_qcle\qcle_time_P020.npz
PBME,TDSE,20.0,47,snap_012000,nuclear R marginal,0.39694699627468943,,1.0000000000138565,1.0000000000011708,0.22556456291860166,0.17954719452688223,0.1573593172519018,1.0000000000000002,1.0,0.22556456291646398,0.17954719452403467,0.15735931724121932,02831553087a7f85dd620876ad4395b11e92ed78a8807f55118b19330bbf3238,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\reviewer_closure_20260726_174927\step9_repl_P020\seed47\pbme.npz,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\reference_tdse\tdse_time_P020.npz
PBME,QCLE,20.0,47,snap_012000,mapping-integrated R-P density,0.49972666074557115,0.4267060231627267,1.0000128967117135,1.000000000001171,0.737313292463151,0.5466540543872669,0.4930292747348852,1.0000000000000002,1.0,0.7373130445681764,0.5466516607271734,0.493022736480188,02831553087a7f85dd620876ad4395b11e92ed78a8807f55118b19330bbf3238,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\reviewer_closure_20260726_174927\step9_repl_P020\seed47\pbme.npz,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\reference_grid_qcle\qcle_time_P020.npz
