method,reference,P0,seed,observable,E_RMS,E_infinity,common_t_min,common_t_max,alignment,paired_initial_cloud_sha256,production_npz,reference_npz
PBME,TDSE,20.0,11,P0,0.00824413016516136,0.035388282813790695,0.0,3000.0,production saved times within reference interval; linear interpolation; no extrapolation,dc09cb6f76c9928c05538fe9dd912facb207d98b1dd6db399a959ee5f9924e0f,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\reviewer_closure_20260726_174927\step9_repl_P020\seed11\pbme.npz,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\reference_tdse\tdse_time_P020.npz
PBME,TDSE,20.0,11,P1,0.00824413016715711,0.035388282808204274,0.0,3000.0,production saved times within reference interval; linear interpolation; no extrapolation,dc09cb6f76c9928c05538fe9dd912facb207d98b1dd6db399a959ee5f9924e0f,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\reviewer_closure_20260726_174927\step9_repl_P020\seed11\pbme.npz,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\reference_tdse\tdse_time_P020.npz
PBME,TDSE,20.0,11,trace,6.724036687756868e-12,1.269384597435419e-11,0.0,3000.0,production saved times within reference interval; linear interpolation; no extrapolation,dc09cb6f76c9928c05538fe9dd912facb207d98b1dd6db399a959ee5f9924e0f,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\reviewer_closure_20260726_174927\step9_repl_P020\seed11\pbme.npz,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\reference_tdse\tdse_time_P020.npz
PBME,TDSE,20.0,11,energy,1.7010171500199267e-05,1.7015339471473934e-05,0.0,3000.0,production saved times within reference interval; linear interpolation; no extrapolation,dc09cb6f76c9928c05538fe9dd912facb207d98b1dd6db399a959ee5f9924e0f,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\reviewer_closure_20260726_174927\step9_repl_P020\seed11\pbme.npz,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\reference_tdse\tdse_time_P020.npz
PBME,TDSE,20.0,11,R_mean,0.02252894042414678,0.03677558695413197,0.0,3000.0,production saved times within reference interval; linear interpolation; no extrapolation,dc09cb6f76c9928c05538fe9dd912facb207d98b1dd6db399a959ee5f9924e0f,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\reviewer_closure_20260726_174927\step9_repl_P020\seed11\pbme.npz,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\reference_tdse\tdse_time_P020.npz
PBME,TDSE,20.0,11,P_mean,0.02997318323476361,0.09868507743188104,0.0,3000.0,production saved times within reference interval; linear interpolation; no extrapolation,dc09cb6f76c9928c05538fe9dd912facb207d98b1dd6db399a959ee5f9924e0f,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\reviewer_closure_20260726_174927\step9_repl_P020\seed11\pbme.npz,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\reference_tdse\tdse_time_P020.npz
PBME,TDSE,20.0,11,R_var,0.03261219916542227,0.0596840401001657,0.0,3000.0,production saved times within reference interval; linear interpolation; no extrapolation,dc09cb6f76c9928c05538fe9dd912facb207d98b1dd6db399a959ee5f9924e0f,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\reviewer_closure_20260726_174927\step9_repl_P020\seed11\pbme.npz,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\reference_tdse\tdse_time_P020.npz
PBME,TDSE,20.0,11,P_var,0.2696974414363628,0.705549522678325,0.0,3000.0,production saved times within reference interval; linear interpolation; no extrapolation,dc09cb6f76c9928c05538fe9dd912facb207d98b1dd6db399a959ee5f9924e0f,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\reviewer_closure_20260726_174927\step9_repl_P020\seed11\pbme.npz,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\reference_tdse\tdse_time_P020.npz
PBME,QCLE,20.0,11,P0,0.010294019044168807,0.035861999264771405,0.0,3000.0,production saved times within reference interval; linear interpolation; no extrapolation,dc09cb6f76c9928c05538fe9dd912facb207d98b1dd6db399a959ee5f9924e0f,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\reviewer_closure_20260726_174927\step9_repl_P020\seed11\pbme.npz,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\reference_grid_qcle\qcle_time_P020.npz
PBME,QCLE,20.0,11,P1,0.010294019043902692,0.03586199926419931,0.0,3000.0,production saved times within reference interval; linear interpolation; no extrapolation,dc09cb6f76c9928c05538fe9dd912facb207d98b1dd6db399a959ee5f9924e0f,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\reviewer_closure_20260726_174927\step9_repl_P020\seed11\pbme.npz,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\reference_grid_qcle\qcle_time_P020.npz
PBME,QCLE,20.0,11,trace,6.059827116248836e-13,1.162847595992389e-12,0.0,3000.0,production saved times within reference interval; linear interpolation; no extrapolation,dc09cb6f76c9928c05538fe9dd912facb207d98b1dd6db399a959ee5f9924e0f,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\reviewer_closure_20260726_174927\step9_repl_P020\seed11\pbme.npz,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\reference_grid_qcle\qcle_time_P020.npz
