reference,P0,seed,observable,PBME_E_RMS,MIDPOINT_E_RMS,MIDPOINT_minus_PBME_E_RMS,PBME_E_infinity,MIDPOINT_E_infinity,MIDPOINT_minus_PBME_E_infinity,paired_initial_cloud_sha256
QCLE,20.0,11,P0,0.010294019044168807,0.06699833542244273,0.05670431637827392,0.035861999264771405,0.3753649354200642,0.3395029361552928,dc09cb6f76c9928c05538fe9dd912facb207d98b1dd6db399a959ee5f9924e0f
QCLE,20.0,11,P1,0.010294019043902692,0.06699833542209092,0.056704316378188235,0.03586199926419931,0.3753649354210896,0.3395029361568903,dc09cb6f76c9928c05538fe9dd912facb207d98b1dd6db399a959ee5f9924e0f
QCLE,20.0,29,P0,0.012769178352149186,0.11246321744192449,0.0996940390897753,0.037544023578753416,0.5558303606959114,0.518286337117158,a18db5b9793f36cab014e8aae3cd0d6da85dc8c9c912243b6182e8c3279ed749
QCLE,20.0,29,P1,0.012769178351811477,0.11246321744254824,0.09969403909073676,0.03754402357817628,0.5558303606945806,0.5182863371164043,a18db5b9793f36cab014e8aae3cd0d6da85dc8c9c912243b6182e8c3279ed749
QCLE,20.0,47,P0,0.019352543108649405,0.23685232320206975,0.21749978009342036,0.03895302358582975,3.480223497688283,3.4412704741024536,02831553087a7f85dd620876ad4395b11e92ed78a8807f55118b19330bbf3238
QCLE,20.0,47,P1,0.01935254310821194,0.2368523232023832,0.21749978009417126,0.03895302358525231,3.4802234976854347,3.4412704741001825,02831553087a7f85dd620876ad4395b11e92ed78a8807f55118b19330bbf3238
QCLE,20.0,73,P0,0.01256275381133072,1.1497185966814754,1.1371558428701447,0.02572772307119442,19.2508139256427,19.225086202571504,4e0aed88a759b7aa51d9dc12c9a2d1025867f3a7c2b3e98f80c492927c4d6889
QCLE,20.0,73,P1,0.012562753810965475,1.1497185966779784,1.137155842867013,0.025727723070624597,19.250813925656743,19.22508620258612,4e0aed88a759b7aa51d9dc12c9a2d1025867f3a7c2b3e98f80c492927c4d6889
TDSE,20.0,11,P0,0.00824413016516136,0.06551272085353207,0.057268590688370716,0.035388282813790695,0.3753819661436859,0.3399936833298952,dc09cb6f76c9928c05538fe9dd912facb207d98b1dd6db399a959ee5f9924e0f
TDSE,20.0,11,P1,0.00824413016715711,0.06551272085589513,0.05726859068873802,0.035388282808204274,0.37538196613873137,0.3399936833305271,dc09cb6f76c9928c05538fe9dd912facb207d98b1dd6db399a959ee5f9924e0f
TDSE,20.0,29,P0,0.010117089393533278,0.11495608949419082,0.10483900010065755,0.03293129665561473,0.5558167024110161,0.5228854057554013,a18db5b9793f36cab014e8aae3cd0d6da85dc8c9c912243b6182e8c3279ed749
TDSE,20.0,29,P1,0.010117089397101731,0.11495608949048884,0.1048390000933871,0.03293129664975292,0.5558167024161541,0.5228854057664012,a18db5b9793f36cab014e8aae3cd0d6da85dc8c9c912243b6182e8c3279ed749
TDSE,20.0,47,P0,0.016043600865313014,0.2372376434059069,0.22119404254059388,0.03273288346951775,3.480207344309857,3.4474744608403394,02831553087a7f85dd620876ad4395b11e92ed78a8807f55118b19330bbf3238
TDSE,20.0,47,P1,0.016043600870800066,0.23723764340463183,0.22119404253383176,0.03273288347688118,3.4802073443129364,3.4474744608360552,02831553087a7f85dd620876ad4395b11e92ed78a8807f55118b19330bbf3238
TDSE,20.0,73,P0,0.009466471183547993,1.147115401958787,1.137648930775239,0.02554337468969009,19.25221851758564,19.22667514289595,4e0aed88a759b7aa51d9dc12c9a2d1025867f3a7c2b3e98f80c492927c4d6889
TDSE,20.0,73,P1,0.009466471187868846,1.1471154019605794,1.1376489307727105,0.025543374683610565,19.25221851759269,19.22667514290908,4e0aed88a759b7aa51d9dc12c9a2d1025867f3a7c2b3e98f80c492927c4d6889
QCLE,100.0,11,P0,0.006238785519834624,197.37957359865948,197.37333481313965,0.017931686163005334,9631.01725322718,9630.999321541018,c1efe2f0a853c0fce6feabd9926ceb5229fbbe0a1a72f238b403dd261e9f786d
QCLE,100.0,11,P1,0.006238785519820579,197.37957359864288,197.37333481312305,0.017931686163117244,9631.017253226371,9630.999321540208,c1efe2f0a853c0fce6feabd9926ceb5229fbbe0a1a72f238b403dd261e9f786d
QCLE,100.0,29,P0,0.019504668903304316,1.6989082761356011,1.6794036072322969,0.032526434494447004,48.382051043736006,48.349524609241556,dcfa10ca5ae845a33e467f8dca043bbfa1b8099927ccfd3513549ead18e02ba0
QCLE,100.0,29,P1,0.019504668903385803,1.69890827613558,1.6794036072321943,0.032526434494559275,48.38205104373702,48.349524609242465,dcfa10ca5ae845a33e467f8dca043bbfa1b8099927ccfd3513549ead18e02ba0
QCLE,100.0,47,P0,0.007556770256835655,3.523877521422424,3.5163207511655883,0.02484807327548466,152.55726420556516,152.53241613228968,a427d8382918f40a445d4b57262a043c4d973407083d59f075fee11997379fba
QCLE,100.0,47,P1,0.007556770256877431,3.52387752142244,3.5163207511655625,0.024848073275600013,152.55726420556323,152.53241613228764,a427d8382918f40a445d4b57262a043c4d973407083d59f075fee11997379fba
QCLE,100.0,73,P0,0.004360388910754446,3.0908719943990444,3.08651160548829,0.012319745983466357,115.45524280272892,115.44292305674546,f332357e0598fae6459a7f5543cfbf1f3473cf6d62237233b3ee16790f7ec39f
QCLE,100.0,73,P1,0.0043603889107648765,3.0908719943989453,3.0865116054881803,0.012319745983578656,115.45524280272842,115.44292305674485,f332357e0598fae6459a7f5543cfbf1f3473cf6d62237233b3ee16790f7ec39f
TDSE,100.0,11,P0,0.006236985758704921,197.3795735079567,197.373336522198,0.017930510510311137,9631.017248762046,9630.999318251535,c1efe2f0a853c0fce6feabd9926ceb5229fbbe0a1a72f238b403dd261e9f786d
TDSE,100.0,11,P1,0.006236985759189766,197.37957350794017,197.37333652218098,0.017930510508095465,9631.017248761238,9630.99931825073,c1efe2f0a853c0fce6feabd9926ceb5229fbbe0a1a72f238b403dd261e9f786d
TDSE,100.0,29,P0,0.019508957093008667,1.6989087215982213,1.6793997645052126,0.032531325514831705,48.38204871263186,48.349517387117025,dcfa10ca5ae845a33e467f8dca043bbfa1b8099927ccfd3513549ead18e02ba0
TDSE,100.0,29,P1,0.019508957090991055,1.6989087215980365,1.6793997645070455,0.032531325512040854,48.38204871263585,48.34951738712381,dcfa10ca5ae845a33e467f8dca043bbfa1b8099927ccfd3513549ead18e02ba0
TDSE,100.0,47,P0,0.007557962961644322,3.5238782919013283,3.516320328939684,0.024846438223593725,152.55726648904758,152.532420050824,a427d8382918f40a445d4b57262a043c4d973407083d59f075fee11997379fba
TDSE,100.0,47,P1,0.007557962960752893,3.5238782919009872,3.5163203289402345,0.024846438221221234,152.5572664890481,152.53242005082686,a427d8382918f40a445d4b57262a043c4d973407083d59f075fee11997379fba
TDSE,100.0,73,P0,0.0043598619959056735,3.0908719405591887,3.086512078563283,0.012317043485213175,115.45524908384253,115.44293204035732,f332357e0598fae6459a7f5543cfbf1f3473cf6d62237233b3ee16790f7ec39f
TDSE,100.0,73,P1,0.004359861995774421,3.0908719405591323,3.086512078563358,0.012317043482925616,115.45524908383888,115.44293204035596,f332357e0598fae6459a7f5543cfbf1f3473cf6d62237233b3ee16790f7ec39f
