comparison_kind,reference,P0,observable,metric,n_paired_seeds,seeds,paired_differences_midpoint_minus_pbme,mean_paired_difference,sample_sd,standard_error,ci95_low,ci95_high,confidence_interval_method,verdict_before_scientific_gates,source_csv
density,QCLE,20.0,mapping-integrated R-P density,raw_E1,4,"[11,29,47,73]","[0.31500324973276284,0.09560399287058419,1.2414898253732791,0.3708623287833639]",0.5057398491899975,0.5046820266187775,0.25234101330938874,-0.29732187628815376,1.3088015746681487,"two-sided paired Student t, df=3",NO_RESOLVED_DIFFERENCE,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\physical_comparison\density_errors_by_seed.csv
density,QCLE,20.0,mapping-integrated R-P density,raw_E2,4,"[11,29,47,73]","[0.5406083738808933,0.11893071325439697,2.3845615617623794,0.6437104897969863]",0.9219527846736639,1.0011512067456083,0.5005756033728042,-0.6711021947955573,2.515007764142885,"two-sided paired Student t, df=3",NO_RESOLVED_DIFFERENCE,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\physical_comparison\density_errors_by_seed.csv
density,QCLE,20.0,mapping-integrated R-P density,raw_Einf,4,"[11,29,47,73]","[0.7913154990067355,0.11512613263307625,4.0014109174551535,1.0496408691176842]",1.4893733545531624,1.7204202561024626,0.8602101280512313,-1.2481991892315811,4.226945898337906,"two-sided paired Student t, df=3",NO_RESOLVED_DIFFERENCE,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\physical_comparison\density_errors_by_seed.csv
density,QCLE,20.0,mapping-integrated R-P density,shape_E1,4,"[11,29,47,73]","[0.31340768395600294,0.38293370290119255,1.052314355862851,8.69658782243448]",2.611310891288632,4.070507321788465,2.0352536608942327,-3.8657746021404886,9.088396384717752,"two-sided paired Student t, df=3",NO_RESOLVED_DIFFERENCE,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\physical_comparison\density_errors_by_seed.csv
density,QCLE,20.0,mapping-integrated R-P density,shape_E2,4,"[11,29,47,73]","[0.5376728798072994,0.453649252098404,1.9600434501235433,14.39866063560019]",4.337506554407359,6.742952759660938,3.371476379830469,-6.39203599393728,15.067049102751998,"two-sided paired Student t, df=3",NO_RESOLVED_DIFFERENCE,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\physical_comparison\density_errors_by_seed.csv
density,QCLE,20.0,mapping-integrated R-P density,shape_Einf,4,"[11,29,47,73]","[0.7852481943211741,0.575903930091069,3.252694303469908,21.046463361594533]",6.415077447369171,9.82970066860579,4.914850334302895,-9.226169840058201,22.056324734796544,"two-sided paired Student t, df=3",NO_RESOLVED_DIFFERENCE,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\physical_comparison\density_errors_by_seed.csv
density,QCLE,100.0,mapping-integrated R-P density,raw_E1,4,"[11,29,47,73]","[1268491213622.1736,1.4083340675789042e+21,5.474794183686358e+20,273218665797837.8]",4.889534401086742e+20,6.650405233428132e+20,3.325202616714066e+20,-5.6927443807965e+20,1.5471813182969985e+21,"two-sided paired Student t, df=3",NO_RESOLVED_DIFFERENCE,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\physical_comparison\density_errors_by_seed.csv
density,QCLE,100.0,mapping-integrated R-P density,raw_E2,4,"[11,29,47,73]","[1573286132912.995,2.2994598769628524e+21,1.0751084322778715e+21,341127938776066.9]",8.436421629854873e+20,1.0949041769716334e+21,5.474520884858167e+20,-8.985947133363534e+20,2.585879039307328e+21,"two-sided paired Student t, df=3",NO_RESOLVED_DIFFERENCE,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\physical_comparison\density_errors_by_seed.csv
density,QCLE,100.0,mapping-integrated R-P density,raw_Einf,4,"[11,29,47,73]","[2656521577032.871,6.583134272120886e+21,2.7815599806976717e+21,697827093353970.5]",2.341173738325543e+21,3.117175798640553e+21,1.5585878993202766e+21,-2.618948563327032e+21,7.301296039978118e+21,"two-sided paired Student t, df=3",NO_RESOLVED_DIFFERENCE,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\physical_comparison\density_errors_by_seed.csv
density,QCLE,100.0,mapping-integrated R-P density,shape_E1,4,"[11,29,47,73]","[2.9007762302192885,2.867656395477169,3.482522806272408,3.047482608556461]",3.0746095101313315,0.2829468305929389,0.14147341529646945,2.624377962325136,3.524841057937527,"two-sided paired Student t, df=3",MIDPOINT_ERROR_LARGER,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\physical_comparison\density_errors_by_seed.csv
density,QCLE,100.0,mapping-integrated R-P density,shape_E2,4,"[11,29,47,73]","[3.2169494679840467,3.7463036532308336,6.189562305624145,3.463944985283539]",4.154190103030641,1.3740414464366153,0.6870207232183076,1.9677835407708155,6.340596665290466,"two-sided paired Student t, df=3",MIDPOINT_ERROR_LARGER,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\physical_comparison\density_errors_by_seed.csv
density,QCLE,100.0,mapping-integrated R-P density,shape_Einf,4,"[11,29,47,73]","[4.907398291368544,10.660853040357377,16.26606780010842,6.953708876550563]",9.697007002096226,4.984897028724303,2.4924485143621515,1.764923436453147,17.629090567739304,"two-sided paired Student t, df=3",MIDPOINT_ERROR_LARGER,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\physical_comparison\density_errors_by_seed.csv
