source_file,issue,severity,first_affected_step,first_affected_time,affected_quantity,propagation_continued,post_issue_usable,exclusion_rule,message,line,count_lines,method,count,observed_max,audit_visibility_threshold,observed_min
reviewer_closure_20260723_194254/step7_dt_P020/seed11_dt0.125/dt_seed11_h0.125.log,failed attempt log,EXCLUDE ATTEMPT,,,process/run attempt,False,False,attempt log contains a fatal exception/OOM/process failure,Traceback (most recent call last):,30,,,,,,
reviewer_closure_20260723_194254/step8_support_P0100/seed11_N2000/support_seed11_N2000.log,failed attempt log,EXCLUDE ATTEMPT,,,process/run attempt,False,False,attempt log contains a fatal exception/OOM/process failure,Traceback (most recent call last):,35,,,,,,
reviewer_closure_20260723_194254/step8_support_P020/seed11_N2000/support_seed11_N2000.log,failed attempt log,EXCLUDE ATTEMPT,,,process/run attempt,False,False,attempt log contains a fatal exception/OOM/process failure,Traceback (most recent call last):,35,,,,,,
reviewer_closure_20260723_194254/step8_support_P020/seed47_N2000/support_seed47_N2000.log,failed attempt log,EXCLUDE ATTEMPT,,,process/run attempt,False,False,attempt log contains a fatal exception/OOM/process failure,Traceback (most recent call last):,35,,,,,,
reviewer_closure_20260723_194254/step9_repl_P020/seed73/repl_P020_seed73.log,failed attempt log,EXCLUDE ATTEMPT,,,process/run attempt,False,False,attempt log contains a fatal exception/OOM/process failure,Traceback (most recent call last):,30,,,,,,
reviewer_closure_20260726_174927/step7_dt_P0100/seed11_dt0.125/dt_seed11_h0.125.log,failed attempt log,EXCLUDE ATTEMPT,,,process/run attempt,False,False,attempt log contains a fatal exception/OOM/process failure,Traceback (most recent call last):,30,,,,,,
reviewer_closure_20260726_174927/step7_dt_P0100/seed11_dt0.25/dt_seed11_h0.25.log,failed attempt log,EXCLUDE ATTEMPT,,,process/run attempt,False,False,attempt log contains a fatal exception/OOM/process failure,Traceback (most recent call last):,30,,,,,,
reviewer_closure_20260726_174927/step7_dt_P0100/seed11_dt0.5/dt_seed11_h0.5.log,failed attempt log,EXCLUDE ATTEMPT,,,process/run attempt,False,False,attempt log contains a fatal exception/OOM/process failure,Traceback (most recent call last):,30,,,,,,
reviewer_closure_20260726_174927/step7_dt_P0100/seed29_dt0.125/dt_seed29_h0.125.log,failed attempt log,EXCLUDE ATTEMPT,,,process/run attempt,False,False,attempt log contains a fatal exception/OOM/process failure,Traceback (most recent call last):,30,,,,,,
reviewer_closure_20260726_174927/step7_dt_P0100/seed29_dt0.25/dt_seed29_h0.25.log,failed attempt log,EXCLUDE ATTEMPT,,,process/run attempt,False,False,attempt log contains a fatal exception/OOM/process failure,Traceback (most recent call last):,25,,,,,,
