P0,method,propagation_seed,diagnostic_probe_seed,snapshot_step,physical_time,t_over_tc,n_bath_anchors,n_mapping_probes,basis_rank,mean_relative_l2_leakage,median_relative_l2_leakage,sample_sd_relative_l2_leakage,maximum_relative_l2_leakage,normalization,projection_policy,source_file,derived_json
20,pbme,11,123,0,0.0,0.0,20,400,4,0.22056494726077633,0.2204377226489224,0.00037881964154463064,0.2218190106019899,"||y-Bc||2/max(||y||2,1e-30)",diagnostic least-squares projection; not enforced,reviewer_closure_20260726_174927/step9_repl_P020/seed11/pbme.npz,reviewer_data_audit/derived_validations/snapshots/P0_20/seed_11/pbme/step_000000/projection/projection_leakage.json
20,pbme,11,123,6000,1500.0,1.0,20,400,4,0.7727683638512616,0.8058375090896176,0.16216118290757198,0.9627265090332039,"||y-Bc||2/max(||y||2,1e-30)",diagnostic least-squares projection; not enforced,reviewer_closure_20260726_174927/step9_repl_P020/seed11/pbme.npz,reviewer_data_audit/derived_validations/snapshots/P0_20/seed_11/pbme/step_006000/projection/projection_leakage.json
20,pbme,11,123,12000,3000.0,2.0,20,400,4,0.2736533111813259,0.26802275929821257,0.040555261593833,0.37350175824153914,"||y-Bc||2/max(||y||2,1e-30)",diagnostic least-squares projection; not enforced,reviewer_closure_20260726_174927/step9_repl_P020/seed11/pbme.npz,reviewer_data_audit/derived_validations/snapshots/P0_20/seed_11/pbme/step_012000/projection/projection_leakage.json
20,midpoint,11,123,0,0.0,0.0,20,400,4,0.22056494726077633,0.2204377226489224,0.00037881964154463064,0.2218190106019899,"||y-Bc||2/max(||y||2,1e-30)",diagnostic least-squares projection; not enforced,reviewer_closure_20260726_174927/step9_repl_P020/seed11/midpoint.npz,reviewer_data_audit/derived_validations/snapshots/P0_20/seed_11/midpoint/step_000000/projection/projection_leakage.json
20,midpoint,11,123,6000,1500.0,1.0,20,400,4,0.9006682880948211,0.951745919783137,0.11969568816673565,0.9961578774327684,"||y-Bc||2/max(||y||2,1e-30)",diagnostic least-squares projection; not enforced,reviewer_closure_20260726_174927/step9_repl_P020/seed11/midpoint.npz,reviewer_data_audit/derived_validations/snapshots/P0_20/seed_11/midpoint/step_006000/projection/projection_leakage.json
20,midpoint,11,123,12000,3000.0,2.0,20,400,4,0.640610600645031,0.6972860163618777,0.21590965096910517,0.8922602484761079,"||y-Bc||2/max(||y||2,1e-30)",diagnostic least-squares projection; not enforced,reviewer_closure_20260726_174927/step9_repl_P020/seed11/midpoint.npz,reviewer_data_audit/derived_validations/snapshots/P0_20/seed_11/midpoint/step_012000/projection/projection_leakage.json
20,pbme,29,123,0,0.0,0.0,20,400,4,0.22147008531187784,0.22070593319961657,0.002692211496981612,0.23246487033693194,"||y-Bc||2/max(||y||2,1e-30)",diagnostic least-squares projection; not enforced,reviewer_closure_20260726_174927/step9_repl_P020/seed29/pbme.npz,reviewer_data_audit/derived_validations/snapshots/P0_20/seed_29/pbme/step_000000/projection/projection_leakage.json
20,pbme,29,123,6000,1500.0,1.0,20,400,4,0.8752065715401341,0.9426452341928206,0.14349634509763676,0.985135314591794,"||y-Bc||2/max(||y||2,1e-30)",diagnostic least-squares projection; not enforced,reviewer_closure_20260726_174927/step9_repl_P020/seed29/pbme.npz,reviewer_data_audit/derived_validations/snapshots/P0_20/seed_29/pbme/step_006000/projection/projection_leakage.json
20,pbme,29,123,12000,3000.0,2.0,20,400,4,0.3546966630224465,0.3344081120334479,0.12271322058512074,0.7769627720204701,"||y-Bc||2/max(||y||2,1e-30)",diagnostic least-squares projection; not enforced,reviewer_closure_20260726_174927/step9_repl_P020/seed29/pbme.npz,reviewer_data_audit/derived_validations/snapshots/P0_20/seed_29/pbme/step_012000/projection/projection_leakage.json
20,midpoint,29,123,0,0.0,0.0,20,400,4,0.22147008531187784,0.22070593319961657,0.002692211496981612,0.23246487033693194,"||y-Bc||2/max(||y||2,1e-30)",diagnostic least-squares projection; not enforced,reviewer_closure_20260726_174927/step9_repl_P020/seed29/midpoint.npz,reviewer_data_audit/derived_validations/snapshots/P0_20/seed_29/midpoint/step_000000/projection/projection_leakage.json
