method,P0,refinement_mode,observable,value1,value2,value3,delta12,delta23,raw_ratio_order,p_observed,order_reason,numerical_noise_abs_tolerance,numerical_noise_rel_tolerance,numerical_noise_threshold,declared_edge_mass_tolerance,declared_negative_momentum_tolerance,source_file,level1_label,level1_dt,level1_n_steps,level1_t_final,level1_R_min,level1_R_max,level1_P_min,level1_P_max,level1_dR,level1_dP,level1_n_grid_actual,level1_n_R,level1_n_P,level1_boundary_rule,level1_absorber_policy,level1_split_operator_composition,level1_fft_convention,level1_derivative_method,level1_time_integrator,level1_edge_mass_5pct,level1_maximum_edge_mass_5pct,level1_negative_momentum_probability,level1_maximum_negative_momentum_probability,level1_edge_R_mass_5pct,level1_edge_P_mass_5pct,level1_maximum_edge_R_mass_5pct,level1_maximum_edge_P_mass_5pct,level1_edge_phase_space_R_mass_5pct,level1_edge_phase_space_P_mass_5pct,level1_maximum_edge_phase_space_R_mass_5pct,level1_maximum_edge_phase_space_P_mass_5pct,level1_edge_mass_convention,level1_cfl_dt_max,level1_cfl_ratio,level2_label,level2_dt,level2_n_steps,level2_t_final,level2_R_min,level2_R_max,level2_P_min,level2_P_max,level2_dR,level2_dP,level2_n_grid_actual,level2_n_R,level2_n_P,level2_boundary_rule,level2_absorber_policy,level2_split_operator_composition,level2_fft_convention,level2_derivative_method,level2_time_integrator,level2_edge_mass_5pct,level2_maximum_edge_mass_5pct,level2_negative_momentum_probability,level2_maximum_negative_momentum_probability,level2_edge_R_mass_5pct,level2_edge_P_mass_5pct,level2_maximum_edge_R_mass_5pct,level2_maximum_edge_P_mass_5pct,level2_edge_phase_space_R_mass_5pct,level2_edge_phase_space_P_mass_5pct,level2_maximum_edge_phase_space_R_mass_5pct,level2_maximum_edge_phase_space_P_mass_5pct,level2_edge_mass_convention,level2_cfl_dt_max,level2_cfl_ratio,level3_label,level3_dt,level3_n_steps,level3_t_final,level3_R_min,level3_R_max,level3_P_min,level3_P_max,level3_dR,level3_dP,level3_n_grid_actual,level3_n_R,level3_n_P,level3_boundary_rule,level3_absorber_policy,level3_split_operator_composition,level3_fft_convention,level3_derivative_method,level3_time_integrator,level3_edge_mass_5pct,level3_maximum_edge_mass_5pct,level3_negative_momentum_probability,level3_maximum_negative_momentum_probability,level3_edge_R_mass_5pct,level3_edge_P_mass_5pct,level3_maximum_edge_R_mass_5pct,level3_maximum_edge_P_mass_5pct,level3_edge_phase_space_R_mass_5pct,level3_edge_phase_space_P_mass_5pct,level3_maximum_edge_phase_space_R_mass_5pct,level3_maximum_edge_phase_space_P_mass_5pct,level3_edge_mass_convention,level3_cfl_dt_max,level3_cfl_ratio
TDSE,20.0,time,P0,0.9519009219784992,0.9519008019682846,0.9519007719706046,1.2001021454377536e-07,2.9997680006665917e-08,2.0002343711142103,2.0002343711142103,ok,1e-12,1e-12,1.951900921978499e-12,1e-06,1e-06,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\reference_tdse\tdse_time_P020.json,coarse,0.2,15000,3000.0,-40.0,45.989501953125,,,0.010498046875,,8192,,,periodic (split-operator FFT),none,symmetric V/2-T-V/2,periodic numpy FFT; P=hbar*2*pi*fftfreq,,,3.355190290337477e-26,3.355190290337477e-26,1.1046689124324106e-26,1.1046689124324106e-26,,,,,,,,,probability in the two outer 5% spatial bands,,,fine,0.1,30000,3000.0,-40.0,45.989501953125,,,0.010498046875,,8192,,,periodic (split-operator FFT),none,symmetric V/2-T-V/2,periodic numpy FFT; P=hbar*2*pi*fftfreq,,,1.2416576247104222e-25,1.2416576247104222e-25,4.174302051338681e-26,4.174302051338681e-26,,,,,,,,,probability in the two outer 5% spatial bands,,,finer,0.05,60000,3000.0,-40.0,45.989501953125,,,0.010498046875,,8192,,,periodic (split-operator FFT),none,symmetric V/2-T-V/2,periodic numpy FFT; P=hbar*2*pi*fftfreq,,,3.8209792388540524e-25,1.2238841634033293e-24,1.8364520211270572e-25,5.526048640615052e-24,,,,,,,,,probability in the two outer 5% spatial bands,,
TDSE,20.0,time,P1,0.04809907802499623,0.048099198039349075,0.048099228043251986,1.200143528445885e-07,3.000390291080235e-08,1.9999848680348578,1.9999848680348578,ok,1e-12,1e-12,1.048099228043252e-12,1e-06,1e-06,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\reference_tdse\tdse_time_P020.json,coarse,0.2,15000,3000.0,-40.0,45.989501953125,,,0.010498046875,,8192,,,periodic (split-operator FFT),none,symmetric V/2-T-V/2,periodic numpy FFT; P=hbar*2*pi*fftfreq,,,3.355190290337477e-26,3.355190290337477e-26,1.1046689124324106e-26,1.1046689124324106e-26,,,,,,,,,probability in the two outer 5% spatial bands,,,fine,0.1,30000,3000.0,-40.0,45.989501953125,,,0.010498046875,,8192,,,periodic (split-operator FFT),none,symmetric V/2-T-V/2,periodic numpy FFT; P=hbar*2*pi*fftfreq,,,1.2416576247104222e-25,1.2416576247104222e-25,4.174302051338681e-26,4.174302051338681e-26,,,,,,,,,probability in the two outer 5% spatial bands,,,finer,0.05,60000,3000.0,-40.0,45.989501953125,,,0.010498046875,,8192,,,periodic (split-operator FFT),none,symmetric V/2-T-V/2,periodic numpy FFT; P=hbar*2*pi*fftfreq,,,3.8209792388540524e-25,1.2238841634033293e-24,1.8364520211270572e-25,5.526048640615052e-24,,,,,,,,,probability in the two outer 5% spatial bands,,
TDSE,20.0,time,trace,1.0000000000034954,1.0000000000076337,1.0000000000138567,4.1382453019878085e-12,6.2230220976289274e-12,-0.588596203074672,NOT COMPUTED,nonmonotone_difference_retained,1e-12,1e-12,2.0000000000138564e-12,1e-06,1e-06,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\reference_tdse\tdse_time_P020.json,coarse,0.2,15000,3000.0,-40.0,45.989501953125,,,0.010498046875,,8192,,,periodic (split-operator FFT),none,symmetric V/2-T-V/2,periodic numpy FFT; P=hbar*2*pi*fftfreq,,,3.355190290337477e-26,3.355190290337477e-26,1.1046689124324106e-26,1.1046689124324106e-26,,,,,,,,,probability in the two outer 5% spatial bands,,,fine,0.1,30000,3000.0,-40.0,45.989501953125,,,0.010498046875,,8192,,,periodic (split-operator FFT),none,symmetric V/2-T-V/2,periodic numpy FFT; P=hbar*2*pi*fftfreq,,,1.2416576247104222e-25,1.2416576247104222e-25,4.174302051338681e-26,4.174302051338681e-26,,,,,,,,,probability in the two outer 5% spatial bands,,,finer,0.05,60000,3000.0,-40.0,45.989501953125,,,0.010498046875,,8192,,,periodic (split-operator FFT),none,symmetric V/2-T-V/2,periodic numpy FFT; P=hbar*2*pi*fftfreq,,,3.8209792388540524e-25,1.2238841634033293e-24,1.8364520211270572e-25,5.526048640615052e-24,,,,,,,,,probability in the two outer 5% spatial bands,,
TDSE,20.0,time,energy,0.1000625000003509,0.100062500000766,0.1000625000013858,4.150985111195382e-13,6.198097590726093e-13,-0.5783717134528886,NOT COMPUTED,roundoff_or_saturation_limited,1e-12,1e-12,1.1000625000013859e-12,1e-06,1e-06,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\reference_tdse\tdse_time_P020.json,coarse,0.2,15000,3000.0,-40.0,45.989501953125,,,0.010498046875,,8192,,,periodic (split-operator FFT),none,symmetric V/2-T-V/2,periodic numpy FFT; P=hbar*2*pi*fftfreq,,,3.355190290337477e-26,3.355190290337477e-26,1.1046689124324106e-26,1.1046689124324106e-26,,,,,,,,,probability in the two outer 5% spatial bands,,,fine,0.1,30000,3000.0,-40.0,45.989501953125,,,0.010498046875,,8192,,,periodic (split-operator FFT),none,symmetric V/2-T-V/2,periodic numpy FFT; P=hbar*2*pi*fftfreq,,,1.2416576247104222e-25,1.2416576247104222e-25,4.174302051338681e-26,4.174302051338681e-26,,,,,,,,,probability in the two outer 5% spatial bands,,,finer,0.05,60000,3000.0,-40.0,45.989501953125,,,0.010498046875,,8192,,,periodic (split-operator FFT),none,symmetric V/2-T-V/2,periodic numpy FFT; P=hbar*2*pi*fftfreq,,,3.8209792388540524e-25,1.2238841634033293e-24,1.8364520211270572e-25,5.526048640615052e-24,,,,,,,,,probability in the two outer 5% spatial bands,,
TDSE,20.0,time,R_mean,15.2893159203032,15.289315429088154,15.289315306283385,4.912150455282926e-07,1.228047690204903e-07,1.9999881623415519,1.9999881623415519,ok,1e-12,1e-12,1.62893159203032e-11,1e-06,1e-06,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\reference_tdse\tdse_time_P020.json,coarse,0.2,15000,3000.0,-40.0,45.989501953125,,,0.010498046875,,8192,,,periodic (split-operator FFT),none,symmetric V/2-T-V/2,periodic numpy FFT; P=hbar*2*pi*fftfreq,,,3.355190290337477e-26,3.355190290337477e-26,1.1046689124324106e-26,1.1046689124324106e-26,,,,,,,,,probability in the two outer 5% spatial bands,,,fine,0.1,30000,3000.0,-40.0,45.989501953125,,,0.010498046875,,8192,,,periodic (split-operator FFT),none,symmetric V/2-T-V/2,periodic numpy FFT; P=hbar*2*pi*fftfreq,,,1.2416576247104222e-25,1.2416576247104222e-25,4.174302051338681e-26,4.174302051338681e-26,,,,,,,,,probability in the two outer 5% spatial bands,,,finer,0.05,60000,3000.0,-40.0,45.989501953125,,,0.010498046875,,8192,,,periodic (split-operator FFT),none,symmetric V/2-T-V/2,periodic numpy FFT; P=hbar*2*pi*fftfreq,,,3.8209792388540524e-25,1.2238841634033293e-24,1.8364520211270572e-25,5.526048640615052e-24,,,,,,,,,probability in the two outer 5% spatial bands,,
TDSE,20.0,time,P_mean,19.712016362287308,19.71201565189527,19.712015474296567,7.103920367512728e-07,1.775987037433424e-07,1.9999943578767825,1.9999943578767825,ok,1e-12,1e-12,2.0712016362287307e-11,1e-06,1e-06,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\reference_tdse\tdse_time_P020.json,coarse,0.2,15000,3000.0,-40.0,45.989501953125,,,0.010498046875,,8192,,,periodic (split-operator FFT),none,symmetric V/2-T-V/2,periodic numpy FFT; P=hbar*2*pi*fftfreq,,,3.355190290337477e-26,3.355190290337477e-26,1.1046689124324106e-26,1.1046689124324106e-26,,,,,,,,,probability in the two outer 5% spatial bands,,,fine,0.1,30000,3000.0,-40.0,45.989501953125,,,0.010498046875,,8192,,,periodic (split-operator FFT),none,symmetric V/2-T-V/2,periodic numpy FFT; P=hbar*2*pi*fftfreq,,,1.2416576247104222e-25,1.2416576247104222e-25,4.174302051338681e-26,4.174302051338681e-26,,,,,,,,,probability in the two outer 5% spatial bands,,,finer,0.05,60000,3000.0,-40.0,45.989501953125,,,0.010498046875,,8192,,,periodic (split-operator FFT),none,symmetric V/2-T-V/2,periodic numpy FFT; P=hbar*2*pi*fftfreq,,,3.8209792388540524e-25,1.2238841634033293e-24,1.8364520211270572e-25,5.526048640615052e-24,,,,,,,,,probability in the two outer 5% spatial bands,,
TDSE,20.0,time,R_var,2.412696455356894,2.4126983101539565,2.412698773854032,1.8547970626059396e-06,4.6370007567020366e-07,1.99999747981277,1.99999747981277,ok,1e-12,1e-12,3.4126987738540324e-12,1e-06,1e-06,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\reference_tdse\tdse_time_P020.json,coarse,0.2,15000,3000.0,-40.0,45.989501953125,,,0.010498046875,,8192,,,periodic (split-operator FFT),none,symmetric V/2-T-V/2,periodic numpy FFT; P=hbar*2*pi*fftfreq,,,3.355190290337477e-26,3.355190290337477e-26,1.1046689124324106e-26,1.1046689124324106e-26,,,,,,,,,probability in the two outer 5% spatial bands,,,fine,0.1,30000,3000.0,-40.0,45.989501953125,,,0.010498046875,,8192,,,periodic (split-operator FFT),none,symmetric V/2-T-V/2,periodic numpy FFT; P=hbar*2*pi*fftfreq,,,1.2416576247104222e-25,1.2416576247104222e-25,4.174302051338681e-26,4.174302051338681e-26,,,,,,,,,probability in the two outer 5% spatial bands,,,finer,0.05,60000,3000.0,-40.0,45.989501953125,,,0.010498046875,,8192,,,periodic (split-operator FFT),none,symmetric V/2-T-V/2,periodic numpy FFT; P=hbar*2*pi*fftfreq,,,3.8209792388540524e-25,1.2238841634033293e-24,1.8364520211270572e-25,5.526048640615052e-24,,,,,,,,,probability in the two outer 5% spatial bands,,
TDSE,20.0,time,P_var,2.066584568718042,2.0665885723957444,2.0665895733168327,4.003677702257846e-06,1.0009210882344632e-06,1.9999976034796483,1.9999976034796483,ok,1e-12,1e-12,3.0665895733168324e-12,1e-06,1e-06,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\reference_tdse\tdse_time_P020.json,coarse,0.2,15000,3000.0,-40.0,45.989501953125,,,0.010498046875,,8192,,,periodic (split-operator FFT),none,symmetric V/2-T-V/2,periodic numpy FFT; P=hbar*2*pi*fftfreq,,,3.355190290337477e-26,3.355190290337477e-26,1.1046689124324106e-26,1.1046689124324106e-26,,,,,,,,,probability in the two outer 5% spatial bands,,,fine,0.1,30000,3000.0,-40.0,45.989501953125,,,0.010498046875,,8192,,,periodic (split-operator FFT),none,symmetric V/2-T-V/2,periodic numpy FFT; P=hbar*2*pi*fftfreq,,,1.2416576247104222e-25,1.2416576247104222e-25,4.174302051338681e-26,4.174302051338681e-26,,,,,,,,,probability in the two outer 5% spatial bands,,,finer,0.05,60000,3000.0,-40.0,45.989501953125,,,0.010498046875,,8192,,,periodic (split-operator FFT),none,symmetric V/2-T-V/2,periodic numpy FFT; P=hbar*2*pi*fftfreq,,,3.8209792388540524e-25,1.2238841634033293e-24,1.8364520211270572e-25,5.526048640615052e-24,,,,,,,,,probability in the two outer 5% spatial bands,,
TDSE,100.0,time,P0,0.14297722248115546,0.14297878972308775,0.14297918153503555,1.567241932287633e-06,3.918119478030224e-07,1.9999946066875285,1.9999946066875285,ok,1e-12,1e-12,1.1429791815350356e-12,1e-06,1e-06,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\reference_tdse\tdse_time_P0100.json,coarse,0.2,3000,600.0,-40.0,45.989501953125,,,0.010498046875,,8192,,,periodic (split-operator FFT),none,symmetric V/2-T-V/2,periodic numpy FFT; P=hbar*2*pi*fftfreq,,,4.072424692469826e-27,4.072424692469826e-27,5.431840966866806e-28,5.431840966866806e-28,,,,,,,,,probability in the two outer 5% spatial bands,,,fine,0.1,6000,600.0,-40.0,45.989501953125,,,0.010498046875,,8192,,,periodic (split-operator FFT),none,symmetric V/2-T-V/2,periodic numpy FFT; P=hbar*2*pi*fftfreq,,,1.7254817771104397e-26,1.7254817771104397e-26,1.6910243038897663e-27,1.6910243038897663e-27,,,,,,,,,probability in the two outer 5% spatial bands,,,finer,0.05,12000,600.0,-40.0,45.989501953125,,,0.010498046875,,8192,,,periodic (split-operator FFT),none,symmetric V/2-T-V/2,periodic numpy FFT; P=hbar*2*pi*fftfreq,,,4.825682713202339e-26,4.825682713202339e-26,6.092890634057175e-27,6.092890634057175e-27,,,,,,,,,probability in the two outer 5% spatial bands,,
TDSE,100.0,time,P1,0.8570227775198759,0.8570212102791632,0.8570208184694124,1.5672407126521293e-06,3.918097508659457e-07,2.000001573363221,2.000001573363221,ok,1e-12,1e-12,1.8570227775198758e-12,1e-06,1e-06,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\reference_tdse\tdse_time_P0100.json,coarse,0.2,3000,600.0,-40.0,45.989501953125,,,0.010498046875,,8192,,,periodic (split-operator FFT),none,symmetric V/2-T-V/2,periodic numpy FFT; P=hbar*2*pi*fftfreq,,,4.072424692469826e-27,4.072424692469826e-27,5.431840966866806e-28,5.431840966866806e-28,,,,,,,,,probability in the two outer 5% spatial bands,,,fine,0.1,6000,600.0,-40.0,45.989501953125,,,0.010498046875,,8192,,,periodic (split-operator FFT),none,symmetric V/2-T-V/2,periodic numpy FFT; P=hbar*2*pi*fftfreq,,,1.7254817771104397e-26,1.7254817771104397e-26,1.6910243038897663e-27,1.6910243038897663e-27,,,,,,,,,probability in the two outer 5% spatial bands,,,finer,0.05,12000,600.0,-40.0,45.989501953125,,,0.010498046875,,8192,,,periodic (split-operator FFT),none,symmetric V/2-T-V/2,periodic numpy FFT; P=hbar*2*pi*fftfreq,,,4.825682713202339e-26,4.825682713202339e-26,6.092890634057175e-27,6.092890634057175e-27,,,,,,,,,probability in the two outer 5% spatial bands,,
