method,P0,observable,numerical_floor,largest_successive_mean_change,finite_population_moment_admissible,admissibility_reason,change_exceeds_seed_variability,hierarchy_stage,final_verdict
PBME,20,P0,1.9644383962001907e-12,0.011623506258371386,true,passed finite/population/central-moment checks,true,seed-dispersion comparison,resolvable change exceeds seed dispersion
PBME,20,P1,1.0471851100593421e-12,0.011623506258366306,true,passed finite/population/central-moment checks,true,seed-dispersion comparison,resolvable change exceeds seed dispersion
PBME,20,trace,2.0000000000011664e-12,4.8849813083506888e-15,true,passed finite/population/central-moment checks,true,numerical-noise rejection,roundoff-limited; cloud-size effect not interpreted
PBME,20,energy,1.1000754687329969e-12,0.0002198222181935966,true,passed finite/population/central-moment checks,false,seed-dispersion comparison,resolvable change remains within seed dispersion
PBME,20,R_mean,1.6332761404158652e-11,0.047481996169420171,true,passed finite/population/central-moment checks,true,seed-dispersion comparison,resolvable change exceeds seed dispersion
PBME,20,P_mean,2.0785922293616549e-11,0.062424699348234469,true,passed finite/population/central-moment checks,true,seed-dispersion comparison,resolvable change exceeds seed dispersion
PBME,20,R_var,3.3689151539030511e-12,0.18445514973284594,true,passed finite/population/central-moment checks,false,seed-dispersion comparison,resolvable change remains within seed dispersion
PBME,20,P_var,2.7046911962103954e-12,0.24064731540865592,true,passed finite/population/central-moment checks,true,seed-dispersion comparison,resolvable change exceeds seed dispersion
PBME,100,P0,1.1427524824293075e-12,0.0077946805981920497,true,passed finite/population/central-moment checks,false,seed-dispersion comparison,resolvable change remains within seed dispersion
PBME,100,P1,1.8650421981691108e-12,0.0077946805981916611,true,passed finite/population/central-moment checks,false,seed-dispersion comparison,resolvable change remains within seed dispersion
PBME,100,trace,2.0000000000002265e-12,4.4408920985006262e-16,true,passed finite/population/central-moment checks,false,numerical-noise rejection,roundoff-limited; cloud-size effect not interpreted
PBME,100,energy,3.5001255544020159e-12,0.0010932302265151961,true,passed finite/population/central-moment checks,false,seed-dispersion comparison,resolvable change remains within seed dispersion
PBME,100,R_mean,1.5907929906138611e-11,0.022560648448941123,true,passed finite/population/central-moment checks,false,seed-dispersion comparison,resolvable change remains within seed dispersion
PBME,100,P_mean,1.0013547457029032e-10,0.019912692369857155,true,passed finite/population/central-moment checks,true,seed-dispersion comparison,resolvable change exceeds seed dispersion
PBME,100,R_var,2.0021696009694285e-12,0.016537244976357557,true,passed finite/population/central-moment checks,false,seed-dispersion comparison,resolvable change remains within seed dispersion
PBME,100,P_var,1.4596357754592949e-12,0.021093821835165727,true,passed finite/population/central-moment checks,true,seed-dispersion comparison,resolvable change exceeds seed dispersion
MIDPOINT,20,P0,2.0789516036112006e-12,0.16303837622064254,false,population positivity violation; negative signed central second moment,true,physical-admissibility rejection,physically inadmissible output; cloud-size comparison not meaningful
MIDPOINT,20,P1,1.0840867726118977e-12,0.16303837622068151,false,population positivity violation; negative signed central second moment,true,physical-admissibility rejection,physically inadmissible output; cloud-size comparison not meaningful
MIDPOINT,20,trace,2.0000000000024552e-12,3.4416913763379853e-13,false,population positivity violation; negative signed central second moment,false,numerical-noise rejection,roundoff-limited; cloud-size effect not interpreted
MIDPOINT,20,energy,1.101392237943316e-12,0.0059464201844493803,false,population positivity violation; negative signed central second moment,false,physical-admissibility rejection,physically inadmissible output; cloud-size comparison not meaningful
MIDPOINT,20,R_mean,1.7922577905895264e-11,2.0086724231170017,false,population positivity violation; negative signed central second moment,false,physical-admissibility rejection,physically inadmissible output; cloud-size comparison not meaningful
MIDPOINT,20,P_mean,2.1469371058322224e-11,0.95627097743073719,false,population positivity violation; negative signed central second moment,false,physical-admissibility rejection,physically inadmissible output; cloud-size comparison not meaningful
MIDPOINT,20,R_var,0.00019425494495143631,194254934.45199144,false,population positivity violation; negative signed central second moment,false,physical-admissibility rejection,physically inadmissible output; cloud-size comparison not meaningful
MIDPOINT,20,P_var,0.00038736446884846283,387364461.51582956,false,population positivity violation; negative signed central second moment,false,physical-admissibility rejection,physically inadmissible output; cloud-size comparison not meaningful
MIDPOINT,100,P0,1.922542049865775e-12,1.3823223752380527,false,population positivity violation; negative signed central second moment,false,physical-admissibility rejection,physically inadmissible output; cloud-size comparison not meaningful
MIDPOINT,100,P1,2.4597803253726364e-12,1.3823223752381399,false,population positivity violation; negative signed central second moment,false,physical-admissibility rejection,physically inadmissible output; cloud-size comparison not meaningful
MIDPOINT,100,trace,2.0000000000004026e-12,8.6819440525687241e-14,false,population positivity violation; negative signed central second moment,false,numerical-noise rejection,roundoff-limited; cloud-size effect not interpreted
MIDPOINT,100,energy,3.5326995230184168e-12,0.11879677595142368,false,population positivity violation; negative signed central second moment,false,physical-admissibility rejection,physically inadmissible output; cloud-size comparison not meaningful
MIDPOINT,100,R_mean,1.3600641143860343e-11,0.12002860419244854,false,population positivity violation; negative signed central second moment,false,physical-admissibility rejection,physically inadmissible output; cloud-size comparison not meaningful
MIDPOINT,100,P_mean,1.0018945700854509e-10,1.0061879007423613,false,population positivity violation; negative signed central second moment,false,physical-admissibility rejection,physically inadmissible output; cloud-size comparison not meaningful
MIDPOINT,100,R_var,4.7617908763041219e+82,4.7617908763041222e+94,false,population positivity violation; negative signed central second moment,false,physical-admissibility rejection,physically inadmissible output; cloud-size comparison not meaningful
MIDPOINT,100,P_var,2.4254655006484848e+84,2.425465500648485e+96,false,population positivity violation; negative signed central second moment,false,physical-admissibility rejection,physically inadmissible output; cloud-size comparison not meaningful
