method,P0,observable,N,n_seeds,seeds,mean,sample_sd,standard_error,ci95_low,ci95_high,confidence_interval_method,cloud_relationship,source_csv,difference_from_N2000_mean,combined_seed_sd_scale,change_exceeds_seed_variability
PBME,20.0,P0,500,3,"[11,29,47]",0.9630933991935882,0.01087768893288037,0.0062802366335594955,0.9360717218990657,0.9901150764881106,"two-sided Student t, df=2",independently sampled; not nested,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\support\independent_cloud_run_by_run.csv,0.010278509251768875,0.010981414079840336,False
PBME,20.0,P1,500,3,"[11,29,47]",0.036906600807576385,0.01087768893287267,0.006280236633555049,0.009884923513073043,0.06392827810207972,"two-sided Student t, df=2",independently sampled; not nested,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\support\independent_cloud_run_by_run.csv,-0.01027850925176578,0.010981414079832597,False
PBME,20.0,trace,500,3,"[11,29,47]",1.0000000000011646,7.720641304371205e-15,4.457514335395259e-15,1.0000000000011455,1.0000000000011837,"two-sided Student t, df=2",independently sampled; not nested,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\support\independent_cloud_run_by_run.csv,3.1086244689504383e-15,7.801637598508322e-15,False
PBME,20.0,energy,500,3,"[11,29,47]",0.09985564651480333,0.00019402376229744311,0.00011201967139161276,0.09937366476991054,0.10033762825969612,"two-sided Student t, df=2",independently sampled; not nested,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\support\independent_cloud_run_by_run.csv,-0.0001828883017135352,0.00021632954522884145,False
PBME,20.0,R_mean,500,3,"[11,29,47]",15.326479581441925,0.03302390077266053,0.019066358000787046,15.244443664144475,15.408515498739375,"two-sided Student t, df=2",independently sampled; not nested,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\support\independent_cloud_run_by_run.csv,0.04120017345269389,0.042279837797701676,False
PBME,20.0,P_mean,500,3,"[11,29,47]",19.762987205484137,0.046592180506576195,0.026900007957603403,19.647245812816507,19.878728598151767,"two-sided Student t, df=2",independently sampled; not nested,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\support\independent_cloud_run_by_run.csv,0.03948961121582073,0.0483713692632048,False
PBME,20.0,R_var,500,3,"[11,29,47]",2.184460004170205,0.1241377593225065,0.0716709687614461,1.8760847147888022,2.4928352935516083,"two-sided Student t, df=2",independently sampled; not nested,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\support\independent_cloud_run_by_run.csv,-0.12646338114491096,0.1285745581528577,False
PBME,20.0,P_var,500,3,"[11,29,47]",1.4640438808017393,0.028485042720982342,0.016445847082837146,1.3932831119586047,1.534804649644874,"two-sided Student t, df=2",independently sampled; not nested,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\support\independent_cloud_run_by_run.csv,-0.23650526442514774,0.06946769429560098,True
MIDPOINT,20.0,P0,500,3,"[11,29,47]",1.0789516036112003,0.0635118802201423,0.036668601141838425,0.9211793468141302,1.2367238604082704,"two-sided Student t, df=2",independently sampled; not nested,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\support\independent_cloud_run_by_run.csv,0.12748822224730805,0.09785809120227836,True
MIDPOINT,20.0,P1,500,3,"[11,29,47]",-0.07895160360878377,0.06351188022038094,0.03666860114197621,-0.23672386040644677,0.07882065318887925,"two-sided Student t, df=2",independently sampled; not nested,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\support\independent_cloud_run_by_run.csv,-0.12748822224700318,0.09785809120296833,True
