P0,method,seed,negligible_mass_rule,material_change_rule,tail_sensitive,verdict,nontrivial_negligible_threshold_count,maximum_change_at_negligible_mass,stable_eta_min,stable_eta_max,first_excluding_eta,first_excluding_absolute_mass_fraction,eta0_ratio_abs_max,eta0_signed_ESS,eta0_absolute_ESS,eta0_raw_normalization,source_csv
20.0,MIDPOINT,11,excluded absolute physical mass fraction <= 1e-6,"absolute change > 1% of max(1, eta=0 principal scales)",False,NO_NONTRIVIAL_NEGLIGIBLE_MASS_THRESHOLD,0,nan,0.0,0.001,0.001,0.0009999999999999994,333.07146808385966,4.072952753298206,45.97504639054366,1.0044057350351543,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\tail_sensitivity\threshold_sweep.csv
20.0,MIDPOINT,29,excluded absolute physical mass fraction <= 1e-6,"absolute change > 1% of max(1, eta=0 principal scales)",False,NO_NONTRIVIAL_NEGLIGIBLE_MASS_THRESHOLD,0,nan,0.0,0.0001,0.001,0.0009999999999999996,175.66516284730622,3.96911676198203,92.63166410151143,0.4393996574049627,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\tail_sensitivity\threshold_sweep.csv
20.0,MIDPOINT,47,excluded absolute physical mass fraction <= 1e-6,"absolute change > 1% of max(1, eta=0 principal scales)",False,NO_NONTRIVIAL_NEGLIGIBLE_MASS_THRESHOLD,0,nan,0.0,0.0001,0.001,0.0009999999999999996,999.2251125743152,0.6686497691420664,32.345348190430386,1.1735662838905072,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\tail_sensitivity\threshold_sweep.csv
20.0,MIDPOINT,73,excluded absolute physical mass fraction <= 1e-6,"absolute change > 1% of max(1, eta=0 principal scales)",False,NO_NONTRIVIAL_NEGLIGIBLE_MASS_THRESHOLD,0,nan,0.0,0.001,0.01,0.007999999999999997,255.65132417956602,0.024714305562220106,73.47072857235001,0.06211285201743844,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\tail_sensitivity\threshold_sweep.csv
20.0,PBME,11,excluded absolute physical mass fraction <= 1e-6,"absolute change > 1% of max(1, eta=0 principal scales)",False,NO_NONTRIVIAL_NEGLIGIBLE_MASS_THRESHOLD,0,nan,0.0,0.001,0.001,0.0009999999999999994,1.0,1000.0000000000007,1000.0000000000007,1.0000000000000004,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\tail_sensitivity\threshold_sweep.csv
20.0,PBME,29,excluded absolute physical mass fraction <= 1e-6,"absolute change > 1% of max(1, eta=0 principal scales)",False,NO_NONTRIVIAL_NEGLIGIBLE_MASS_THRESHOLD,0,nan,0.0,0.001,0.001,0.0009999999999999996,1.0,1000.0000000000007,1000.0000000000007,1.0000000000000004,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\tail_sensitivity\threshold_sweep.csv
20.0,PBME,47,excluded absolute physical mass fraction <= 1e-6,"absolute change > 1% of max(1, eta=0 principal scales)",False,NO_NONTRIVIAL_NEGLIGIBLE_MASS_THRESHOLD,0,nan,0.0,0.001,0.001,0.0009999999999999996,1.0,1000.0000000000007,1000.0000000000007,1.0000000000000004,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\tail_sensitivity\threshold_sweep.csv
20.0,PBME,73,excluded absolute physical mass fraction <= 1e-6,"absolute change > 1% of max(1, eta=0 principal scales)",False,NO_NONTRIVIAL_NEGLIGIBLE_MASS_THRESHOLD,0,nan,0.0,0.01,0.01,0.007999999999999997,1.0,1000.0000000000007,1000.0000000000007,1.0000000000000004,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\tail_sensitivity\threshold_sweep.csv
100.0,MIDPOINT,11,excluded absolute physical mass fraction <= 1e-6,"absolute change > 1% of max(1, eta=0 principal scales)",False,NO_NONTRIVIAL_NEGLIGIBLE_MASS_THRESHOLD,0,nan,0.0,0.0001,0.001,0.0009999999999999994,255174066667784.7,0.9612847940249856,27.588348862390284,-475113930690.4574,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\tail_sensitivity\threshold_sweep.csv
100.0,MIDPOINT,29,excluded absolute physical mass fraction <= 1e-6,"absolute change > 1% of max(1, eta=0 principal scales)",False,NO_NONTRIVIAL_NEGLIGIBLE_MASS_THRESHOLD,0,nan,0.0,0.0001,0.001,0.0009999999999999996,7.6101166711584e+23,0.49993761573896567,16.414294242511435,5.941655715231358e+20,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\tail_sensitivity\threshold_sweep.csv
100.0,MIDPOINT,47,excluded absolute physical mass fraction <= 1e-6,"absolute change > 1% of max(1, eta=0 principal scales)",False,NO_NONTRIVIAL_NEGLIGIBLE_MASS_THRESHOLD,0,nan,0.0,0.001,0.001,0.0009999999999999996,3.379604877660634e+23,0.20359193088008856,12.230829520881116,-1.663046791673532e+20,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\tail_sensitivity\threshold_sweep.csv
100.0,MIDPOINT,73,excluded absolute physical mass fraction <= 1e-6,"absolute change > 1% of max(1, eta=0 principal scales)",False,NO_NONTRIVIAL_NEGLIGIBLE_MASS_THRESHOLD,0,nan,0.0,0.001,0.01,0.007999999999999997,4.8326038827346456e+16,0.47825845913345116,70.44787755321427,-92858055138796.0,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\tail_sensitivity\threshold_sweep.csv
