P0,method,seed,eta,threshold,included_count,excluded_count,included_fraction,excluded_fraction,excluded_absolute_physical_mass_fraction,excluded_signed_mass,minimum_retained_abs_y0,ratio_abs_max,ratio_abs_q0.001,ratio_abs_q0.01,ratio_abs_q0.05,ratio_abs_q0.1,ratio_abs_q0.25,ratio_abs_q0.5,ratio_abs_q0.75,ratio_abs_q0.9,ratio_abs_q0.95,ratio_abs_q0.99,ratio_abs_q0.999,signed_ESS,absolute_ESS,live_weight_P0,live_weight_P1,cloud_weighted_P0,cloud_weighted_P1,raw_normalization,raw_energy,live_weight_denominator,near_zero_signed_denominator,point_inclusion_mask_sha256,initial_label_sha256,correction_multiplier_sha256,proposal_density_sha256,geometric_measure_sha256,saved_live_weight_sha256,cloud_coefficient_sha256,source_file,initial_snapshot,final_snapshot,live_weight_P0_change_from_eta0,live_weight_P1_change_from_eta0,cloud_weighted_P0_change_from_eta0,cloud_weighted_P1_change_from_eta0,raw_normalization_change_from_eta0,raw_energy_change_from_eta0
20.0,PBME,11,0.0,0.0,1000,0,1.0,0.0,0.0,0.0,2.517738331065298e-06,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1000.0000000000007,1000.0000000000007,0.9560124777213774,0.04398752227978536,0.9560124777213779,0.043987522279785383,1.0000000000000004,0.10004549054182445,1.0000000000000004,False,164d6ed5550a232197e7eed93f08fe61ada6825c15609e700526aaf110843d01,266e0b8948a6b00c6b6c6ac72ebb910aa1b55e1226e40f6c85c824df81092fdd,2f5577a7b1c8cb07f9f79d4f7955e17155a40330bc3e96f3dcb2f7c2cc262add,266e0b8948a6b00c6b6c6ac72ebb910aa1b55e1226e40f6c85c824df81092fdd,86f1cfb2c42c557a242f979d3e43524d35bc0fb88cac3a4e65cb5d2fa31f7e4e,2f5577a7b1c8cb07f9f79d4f7955e17155a40330bc3e96f3dcb2f7c2cc262add,dde709c3ce6a568b1db529f4316d2ef082fa09b1a688e3f8e9acf0a5b5dc375f,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\reviewer_closure_20260726_174927\step9_repl_P020\seed11\pbme.npz,snap_000000,snap_012000,0.0,0.0,0.0,0.0,0.0,0.0
20.0,PBME,11,1e-14,2.9504690655530777e-17,1000,0,1.0,0.0,0.0,0.0,2.517738331065298e-06,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1000.0000000000007,1000.0000000000007,0.9560124777213774,0.04398752227978536,0.9560124777213779,0.043987522279785383,1.0000000000000004,0.10004549054182445,1.0000000000000004,False,164d6ed5550a232197e7eed93f08fe61ada6825c15609e700526aaf110843d01,266e0b8948a6b00c6b6c6ac72ebb910aa1b55e1226e40f6c85c824df81092fdd,2f5577a7b1c8cb07f9f79d4f7955e17155a40330bc3e96f3dcb2f7c2cc262add,266e0b8948a6b00c6b6c6ac72ebb910aa1b55e1226e40f6c85c824df81092fdd,86f1cfb2c42c557a242f979d3e43524d35bc0fb88cac3a4e65cb5d2fa31f7e4e,2f5577a7b1c8cb07f9f79d4f7955e17155a40330bc3e96f3dcb2f7c2cc262add,dde709c3ce6a568b1db529f4316d2ef082fa09b1a688e3f8e9acf0a5b5dc375f,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\reviewer_closure_20260726_174927\step9_repl_P020\seed11\pbme.npz,snap_000000,snap_012000,0.0,0.0,0.0,0.0,0.0,0.0
20.0,PBME,11,1e-12,2.9504690655530776e-15,1000,0,1.0,0.0,0.0,0.0,2.517738331065298e-06,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1000.0000000000007,1000.0000000000007,0.9560124777213774,0.04398752227978536,0.9560124777213779,0.043987522279785383,1.0000000000000004,0.10004549054182445,1.0000000000000004,False,164d6ed5550a232197e7eed93f08fe61ada6825c15609e700526aaf110843d01,266e0b8948a6b00c6b6c6ac72ebb910aa1b55e1226e40f6c85c824df81092fdd,2f5577a7b1c8cb07f9f79d4f7955e17155a40330bc3e96f3dcb2f7c2cc262add,266e0b8948a6b00c6b6c6ac72ebb910aa1b55e1226e40f6c85c824df81092fdd,86f1cfb2c42c557a242f979d3e43524d35bc0fb88cac3a4e65cb5d2fa31f7e4e,2f5577a7b1c8cb07f9f79d4f7955e17155a40330bc3e96f3dcb2f7c2cc262add,dde709c3ce6a568b1db529f4316d2ef082fa09b1a688e3f8e9acf0a5b5dc375f,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\reviewer_closure_20260726_174927\step9_repl_P020\seed11\pbme.npz,snap_000000,snap_012000,0.0,0.0,0.0,0.0,0.0,0.0
20.0,PBME,11,1e-10,2.9504690655530777e-13,1000,0,1.0,0.0,0.0,0.0,2.517738331065298e-06,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1000.0000000000007,1000.0000000000007,0.9560124777213774,0.04398752227978536,0.9560124777213779,0.043987522279785383,1.0000000000000004,0.10004549054182445,1.0000000000000004,False,164d6ed5550a232197e7eed93f08fe61ada6825c15609e700526aaf110843d01,266e0b8948a6b00c6b6c6ac72ebb910aa1b55e1226e40f6c85c824df81092fdd,2f5577a7b1c8cb07f9f79d4f7955e17155a40330bc3e96f3dcb2f7c2cc262add,266e0b8948a6b00c6b6c6ac72ebb910aa1b55e1226e40f6c85c824df81092fdd,86f1cfb2c42c557a242f979d3e43524d35bc0fb88cac3a4e65cb5d2fa31f7e4e,2f5577a7b1c8cb07f9f79d4f7955e17155a40330bc3e96f3dcb2f7c2cc262add,dde709c3ce6a568b1db529f4316d2ef082fa09b1a688e3f8e9acf0a5b5dc375f,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\reviewer_closure_20260726_174927\step9_repl_P020\seed11\pbme.npz,snap_000000,snap_012000,0.0,0.0,0.0,0.0,0.0,0.0
20.0,PBME,11,1e-08,2.9504690655530775e-11,1000,0,1.0,0.0,0.0,0.0,2.517738331065298e-06,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1000.0000000000007,1000.0000000000007,0.9560124777213774,0.04398752227978536,0.9560124777213779,0.043987522279785383,1.0000000000000004,0.10004549054182445,1.0000000000000004,False,164d6ed5550a232197e7eed93f08fe61ada6825c15609e700526aaf110843d01,266e0b8948a6b00c6b6c6ac72ebb910aa1b55e1226e40f6c85c824df81092fdd,2f5577a7b1c8cb07f9f79d4f7955e17155a40330bc3e96f3dcb2f7c2cc262add,266e0b8948a6b00c6b6c6ac72ebb910aa1b55e1226e40f6c85c824df81092fdd,86f1cfb2c42c557a242f979d3e43524d35bc0fb88cac3a4e65cb5d2fa31f7e4e,2f5577a7b1c8cb07f9f79d4f7955e17155a40330bc3e96f3dcb2f7c2cc262add,dde709c3ce6a568b1db529f4316d2ef082fa09b1a688e3f8e9acf0a5b5dc375f,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\reviewer_closure_20260726_174927\step9_repl_P020\seed11\pbme.npz,snap_000000,snap_012000,0.0,0.0,0.0,0.0,0.0,0.0
20.0,PBME,11,1e-06,2.9504690655530773e-09,1000,0,1.0,0.0,0.0,0.0,2.517738331065298e-06,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1000.0000000000007,1000.0000000000007,0.9560124777213774,0.04398752227978536,0.9560124777213779,0.043987522279785383,1.0000000000000004,0.10004549054182445,1.0000000000000004,False,164d6ed5550a232197e7eed93f08fe61ada6825c15609e700526aaf110843d01,266e0b8948a6b00c6b6c6ac72ebb910aa1b55e1226e40f6c85c824df81092fdd,2f5577a7b1c8cb07f9f79d4f7955e17155a40330bc3e96f3dcb2f7c2cc262add,266e0b8948a6b00c6b6c6ac72ebb910aa1b55e1226e40f6c85c824df81092fdd,86f1cfb2c42c557a242f979d3e43524d35bc0fb88cac3a4e65cb5d2fa31f7e4e,2f5577a7b1c8cb07f9f79d4f7955e17155a40330bc3e96f3dcb2f7c2cc262add,dde709c3ce6a568b1db529f4316d2ef082fa09b1a688e3f8e9acf0a5b5dc375f,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\reviewer_closure_20260726_174927\step9_repl_P020\seed11\pbme.npz,snap_000000,snap_012000,0.0,0.0,0.0,0.0,0.0,0.0
20.0,PBME,11,1e-05,2.9504690655530778e-08,1000,0,1.0,0.0,0.0,0.0,2.517738331065298e-06,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1000.0000000000007,1000.0000000000007,0.9560124777213774,0.04398752227978536,0.9560124777213779,0.043987522279785383,1.0000000000000004,0.10004549054182445,1.0000000000000004,False,164d6ed5550a232197e7eed93f08fe61ada6825c15609e700526aaf110843d01,266e0b8948a6b00c6b6c6ac72ebb910aa1b55e1226e40f6c85c824df81092fdd,2f5577a7b1c8cb07f9f79d4f7955e17155a40330bc3e96f3dcb2f7c2cc262add,266e0b8948a6b00c6b6c6ac72ebb910aa1b55e1226e40f6c85c824df81092fdd,86f1cfb2c42c557a242f979d3e43524d35bc0fb88cac3a4e65cb5d2fa31f7e4e,2f5577a7b1c8cb07f9f79d4f7955e17155a40330bc3e96f3dcb2f7c2cc262add,dde709c3ce6a568b1db529f4316d2ef082fa09b1a688e3f8e9acf0a5b5dc375f,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\reviewer_closure_20260726_174927\step9_repl_P020\seed11\pbme.npz,snap_000000,snap_012000,0.0,0.0,0.0,0.0,0.0,0.0
20.0,PBME,11,0.0001,2.9504690655530774e-07,1000,0,1.0,0.0,0.0,0.0,2.517738331065298e-06,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1000.0000000000007,1000.0000000000007,0.9560124777213774,0.04398752227978536,0.9560124777213779,0.043987522279785383,1.0000000000000004,0.10004549054182445,1.0000000000000004,False,164d6ed5550a232197e7eed93f08fe61ada6825c15609e700526aaf110843d01,266e0b8948a6b00c6b6c6ac72ebb910aa1b55e1226e40f6c85c824df81092fdd,2f5577a7b1c8cb07f9f79d4f7955e17155a40330bc3e96f3dcb2f7c2cc262add,266e0b8948a6b00c6b6c6ac72ebb910aa1b55e1226e40f6c85c824df81092fdd,86f1cfb2c42c557a242f979d3e43524d35bc0fb88cac3a4e65cb5d2fa31f7e4e,2f5577a7b1c8cb07f9f79d4f7955e17155a40330bc3e96f3dcb2f7c2cc262add,dde709c3ce6a568b1db529f4316d2ef082fa09b1a688e3f8e9acf0a5b5dc375f,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\reviewer_closure_20260726_174927\step9_repl_P020\seed11\pbme.npz,snap_000000,snap_012000,0.0,0.0,0.0,0.0,0.0,0.0
20.0,PBME,11,0.001,2.9504690655530777e-06,999,1,0.999,0.001,0.0009999999999999994,0.0009999999999999998,3.6994562870627743e-06,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,999.0000000000006,999.0000000000006,0.9564826902114487,0.043517309789714374,0.9555262075212377,0.04347379247992468,0.9990000000000004,0.09996119277947106,0.9990000000000004,False,8626ac65103ba633f986cb7277e48276da252bd0248ea6a26ec4a0650de21464,266e0b8948a6b00c6b6c6ac72ebb910aa1b55e1226e40f6c85c824df81092fdd,2f5577a7b1c8cb07f9f79d4f7955e17155a40330bc3e96f3dcb2f7c2cc262add,266e0b8948a6b00c6b6c6ac72ebb910aa1b55e1226e40f6c85c824df81092fdd,86f1cfb2c42c557a242f979d3e43524d35bc0fb88cac3a4e65cb5d2fa31f7e4e,2f5577a7b1c8cb07f9f79d4f7955e17155a40330bc3e96f3dcb2f7c2cc262add,dde709c3ce6a568b1db529f4316d2ef082fa09b1a688e3f8e9acf0a5b5dc375f,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\reviewer_closure_20260726_174927\step9_repl_P020\seed11\pbme.npz,snap_000000,snap_012000,0.00047021249007128674,-0.00047021249007098836,-0.00048627020014013755,-0.0005137297998607029,-0.0010000000000000009,-8.429776235338582e-05
20.0,PBME,11,0.01,2.9504690655530777e-05,990,10,0.99,0.01,0.009999999999999997,0.010000000000000002,3.540040505016427e-05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,990.0000000000007,990.0000000000007,0.9570485664309237,0.04295143357024279,0.9474780807666149,0.04252191923454038,0.9900000000000004,0.09907714969931271,0.9900000000000004,False,ed70f576eed85d7d935724349ae29e0b512a8db8fe6f49d04adcb9ff6cf4b39d,266e0b8948a6b00c6b6c6ac72ebb910aa1b55e1226e40f6c85c824df81092fdd,2f5577a7b1c8cb07f9f79d4f7955e17155a40330bc3e96f3dcb2f7c2cc262add,266e0b8948a6b00c6b6c6ac72ebb910aa1b55e1226e40f6c85c824df81092fdd,86f1cfb2c42c557a242f979d3e43524d35bc0fb88cac3a4e65cb5d2fa31f7e4e,2f5577a7b1c8cb07f9f79d4f7955e17155a40330bc3e96f3dcb2f7c2cc262add,dde709c3ce6a568b1db529f4316d2ef082fa09b1a688e3f8e9acf0a5b5dc375f,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\reviewer_closure_20260726_174927\step9_repl_P020\seed11\pbme.npz,snap_000000,snap_012000,0.0010360887095463012,-0.001036088709542575,-0.00853439695476299,-0.001465603045245005,-0.010000000000000009,-0.000968340842511739
