method,P0,seed,observable,dt1,dt2,dt3,value1,value2,value3,D12,D23,D12_over_D23,paired_difference_D12_minus_D23,paired_contraction,raw_observable_seed_spread,pooled_raw_observable_seed_spread,raw_seed_spread_role,roundoff_threshold,physically_admissible_case,physical_admissibility_reason,p_observed,verdict,reason,alignment,run1_manifest,run2_manifest,run3_manifest
PBME,20.0,11,P0,0.5,0.25,0.125,0.9560133425030243,0.9560124777213774,0.9560122615259072,5.737736997423879e-07,1.4344361992986448e-07,3.9999945624833617,4.303300798125234e-07,True,0.011239137816897725,0.010951432807070687,descriptive cloud-to-cloud variability only; not an order or uncertainty gate,1.9140962294282435e-12,True,"passed endpoint population, norm, energy and signed-central-moment checks",1.9999980388290948,COMPUTED_POSITIVE,three finite and physically admissible levels; paired finer difference contracts,linear interpolation to common coarse saved times; no extrapolation,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\reviewer_closure_20260723_194254\step7_dt_P020\seed11_dt0.5\run_manifest.json,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\reviewer_closure_20260726_174927\step9_repl_P020\seed11\run_manifest.json,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\reviewer_closure_20260723_194254\step7_dt_P020\seed11_dt0.125\run_manifest.json
PBME,20.0,11,P1,0.5,0.25,0.125,0.04398665749760518,0.04398752227978536,0.043987738476392556,5.737739198400324e-07,1.434440667071984e-07,3.999983638300175,4.30329853132834e-07,True,0.011239137816894283,0.01095143280706688,descriptive cloud-to-cloud variability only; not an order or uncertainty gate,1.2020326036933238e-12,True,"passed endpoint population, norm, energy and signed-central-moment checks",1.9999940987521312,COMPUTED_POSITIVE,three finite and physically admissible levels; paired finer difference contracts,linear interpolation to common coarse saved times; no extrapolation,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\reviewer_closure_20260723_194254\step7_dt_P020\seed11_dt0.5\run_manifest.json,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\reviewer_closure_20260726_174927\step9_repl_P020\seed11\run_manifest.json,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\reviewer_closure_20260723_194254\step7_dt_P020\seed11_dt0.125\run_manifest.json
PBME,20.0,11,trace,0.5,0.25,0.125,1.0000000000006295,1.0000000000011628,1.0000000000022997,2.892425123427938e-13,5.879887909632088e-13,0.49191841203124576,-2.9874627862041504e-13,False,9.401661878524822e-15,1.0002191001020395e-14,descriptive cloud-to-cloud variability only; not an order or uncertainty gate,2.0000000000011426e-12,True,"passed endpoint population, norm, energy and signed-central-moment checks",nan,REJECT_NUMERICAL_NOISE,roundoff- or saturation-limited; order not interpreted,linear interpolation to common coarse saved times; no extrapolation,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\reviewer_closure_20260723_194254\step7_dt_P020\seed11_dt0.5\run_manifest.json,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\reviewer_closure_20260726_174927\step9_repl_P020\seed11\run_manifest.json,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\reviewer_closure_20260723_194254\step7_dt_P020\seed11_dt0.125\run_manifest.json
PBME,20.0,11,energy,0.5,0.25,0.125,0.10004549054241396,0.1000454905418244,0.10004549054166458,4.831944660485786e-09,1.2079938554781216e-09,3.99997453511327,3.6239508050076645e-09,True,8.363765544738366e-05,0.00011574091375759385,descriptive cloud-to-cloud variability only; not an order or uncertainty gate,1.1000454903561975e-12,True,"passed endpoint population, norm, energy and signed-central-moment checks",1.999990815454314,COMPUTED_POSITIVE,three finite and physically admissible levels; paired finer difference contracts,linear interpolation to common coarse saved times; no extrapolation,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\reviewer_closure_20260723_194254\step7_dt_P020\seed11_dt0.5\run_manifest.json,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\reviewer_closure_20260726_174927\step9_repl_P020\seed11\run_manifest.json,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\reviewer_closure_20260723_194254\step7_dt_P020\seed11_dt0.125\run_manifest.json
PBME,20.0,11,R_mean,0.5,0.25,0.125,15.326094018503687,15.326090893237517,15.326090111916798,1.2360815706366121e-06,3.09022007003893e-07,3.999979103821691,9.270595636327192e-07,True,0.028842679329332977,0.03259735145311624,descriptive cloud-to-cloud variability only; not an order or uncertainty gate,9.823462083388195e-12,True,"passed endpoint population, norm, energy and signed-central-moment checks",1.999992463277109,COMPUTED_POSITIVE,three finite and physically admissible levels; paired finer difference contracts,linear interpolation to common coarse saved times; no extrapolation,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\reviewer_closure_20260723_194254\step7_dt_P020\seed11_dt0.5\run_manifest.json,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\reviewer_closure_20260726_174927\step9_repl_P020\seed11\run_manifest.json,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\reviewer_closure_20260723_194254\step7_dt_P020\seed11_dt0.125\run_manifest.json
PBME,20.0,11,P_mean,0.5,0.25,0.125,19.74084954555326,19.740845087533984,19.74084397302291,2.8859966032738937e-06,7.215031003601927e-07,3.999978103812902,2.164493502913701e-06,True,0.05314185147261733,0.04963382106331289,descriptive cloud-to-cloud variability only; not an order or uncertainty gate,2.121967243237536e-11,True,"passed endpoint population, norm, energy and signed-central-moment checks",1.9999921025982494,COMPUTED_POSITIVE,three finite and physically admissible levels; paired finer difference contracts,linear interpolation to common coarse saved times; no extrapolation,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\reviewer_closure_20260723_194254\step7_dt_P020\seed11_dt0.5\run_manifest.json,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\reviewer_closure_20260726_174927\step9_repl_P020\seed11\run_manifest.json,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\reviewer_closure_20260723_194254\step7_dt_P020\seed11_dt0.125\run_manifest.json
PBME,20.0,11,R_var,0.5,0.25,0.125,2.4004900612088136,2.4004920594238968,2.400492559014367,5.895228529426602e-07,1.4739142594632496e-07,3.999709271808964,4.4213142699633525e-07,True,0.09507974456496342,0.10526328379587503,descriptive cloud-to-cloud variability only; not an order or uncertainty gate,2.422370890754859e-12,True,"passed endpoint population, norm, energy and signed-central-moment checks",1.9998951381593035,COMPUTED_POSITIVE,three finite and physically admissible levels; paired finer difference contracts,linear interpolation to common coarse saved times; no extrapolation,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\reviewer_closure_20260723_194254\step7_dt_P020\seed11_dt0.5\run_manifest.json,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\reviewer_closure_20260726_174927\step9_repl_P020\seed11\run_manifest.json,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\reviewer_closure_20260723_194254\step7_dt_P020\seed11_dt0.125\run_manifest.json
PBME,20.0,11,P_var,0.5,0.25,0.125,1.6827513743585882,1.68275441475987,1.6827551749391318,3.2410863207544397e-06,8.102896052043422e-07,3.9999110193905163,2.4307967155500976e-06,True,0.09854947498525939,0.12399573105467178,descriptive cloud-to-cloud variability only; not an order or uncertainty gate,2.7835042987023132e-12,True,"passed endpoint population, norm, energy and signed-central-moment checks",1.9999679066720288,COMPUTED_POSITIVE,three finite and physically admissible levels; paired finer difference contracts,linear interpolation to common coarse saved times; no extrapolation,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\reviewer_closure_20260723_194254\step7_dt_P020\seed11_dt0.5\run_manifest.json,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\reviewer_closure_20260726_174927\step9_repl_P020\seed11\run_manifest.json,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\reviewer_closure_20260723_194254\step7_dt_P020\seed11_dt0.125\run_manifest.json
PBME,20.0,29,P0,0.5,0.25,0.125,0.96233630771908,0.962335157385912,0.9623348698028076,7.656746130149993e-07,1.9141868021547733e-07,3.9999994365915077,5.74255932799522e-07,True,0.011518158194938807,0.010951432807070687,descriptive cloud-to-cloud variability only; not an order or uncertainty gate,1.9167436981576146e-12,True,"passed endpoint population, norm, energy and signed-central-moment checks",1.9999997967933263,COMPUTED_POSITIVE,three finite and physically admissible levels; paired finer difference contracts,linear interpolation to common coarse saved times; no extrapolation,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\reviewer_closure_20260723_194254\step7_dt_P020\seed29_dt0.5\run_manifest.json,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\reviewer_closure_20260726_174927\step9_repl_P020\seed29\run_manifest.json,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\reviewer_closure_20260723_194254\step7_dt_P020\seed29_dt0.125\run_manifest.json
PBME,20.0,29,P1,0.5,0.25,0.125,0.03766369228154939,0.037664842615254324,0.03766513019949166,7.656748386029837e-07,1.914191327373193e-07,3.999991158949112,5.742557058656644e-07,True,0.01151815819493714,0.01095143280706688,descriptive cloud-to-cloud variability only; not an order or uncertainty gate,1.2031353346337053e-12,True,"passed endpoint population, norm, energy and signed-central-moment checks",1.999996811261408,COMPUTED_POSITIVE,three finite and physically admissible levels; paired finer difference contracts,linear interpolation to common coarse saved times; no extrapolation,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\reviewer_closure_20260723_194254\step7_dt_P020\seed29_dt0.5\run_manifest.json,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\reviewer_closure_20260726_174927\step9_repl_P020\seed29\run_manifest.json,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\reviewer_closure_20260723_194254\step7_dt_P020\seed29_dt0.125\run_manifest.json
