N,seed,support,quantity,rmse,relative_l2,linf,n_query,source
300,123,on_support,density,4.485779295370691e-05,0.003376643315398348,0.00027726504213614056,1000,reviewer_closure_20260723_194254\step5_manufactured\N300_seed123\manufactured_operator_metrics.json
300,123,on_support,gradient,0.00011016126486968039,0.005909708846212219,0.0011994998213684382,1000,reviewer_closure_20260723_194254\step5_manufactured\N300_seed123\manufactured_operator_metrics.json
300,123,on_support,operator_Q,2.28229233175317e-06,0.012893774419535124,1.57740632869721e-05,1000,reviewer_closure_20260723_194254\step5_manufactured\N300_seed123\manufactured_operator_metrics.json
300,123,off_support,density,8.488888896781758e-05,0.006084079173828401,0.0009609121467776886,1000,reviewer_closure_20260723_194254\step5_manufactured\N300_seed123\manufactured_operator_metrics.json
300,123,off_support,gradient,0.00015747071204473667,0.008156739161047373,0.0032646187192087155,1000,reviewer_closure_20260723_194254\step5_manufactured\N300_seed123\manufactured_operator_metrics.json
300,123,off_support,operator_Q,3.2404373792872616e-06,0.01967334841893367,4.502142166278912e-05,1000,reviewer_closure_20260723_194254\step5_manufactured\N300_seed123\manufactured_operator_metrics.json
300,124,on_support,density,3.4484203648707635e-06,0.00023233559580988967,2.3668714472069308e-05,1000,reviewer_closure_20260723_194254\step5_manufactured\N300_seed124\manufactured_operator_metrics.json
300,124,on_support,gradient,0.0003125331548783225,0.016376724347778617,0.004145425870831478,1000,reviewer_closure_20260723_194254\step5_manufactured\N300_seed124\manufactured_operator_metrics.json
300,124,on_support,operator_Q,7.720865327729985e-06,0.0396110863175038,7.066553943747427e-05,1000,reviewer_closure_20260723_194254\step5_manufactured\N300_seed124\manufactured_operator_metrics.json
300,124,off_support,density,0.00015522777815351723,0.010813398832638479,0.001892115251443002,1000,reviewer_closure_20260723_194254\step5_manufactured\N300_seed124\manufactured_operator_metrics.json
300,124,off_support,gradient,0.0003601994986780188,0.018038030744871432,0.007024521873105017,1000,reviewer_closure_20260723_194254\step5_manufactured\N300_seed124\manufactured_operator_metrics.json
300,124,off_support,operator_Q,6.766563012999719e-06,0.041958385687855024,6.0526630719323296e-05,1000,reviewer_closure_20260723_194254\step5_manufactured\N300_seed124\manufactured_operator_metrics.json
300,125,on_support,density,3.5577246211285166e-06,0.00022911364971900852,1.9042223838604266e-05,1000,reviewer_closure_20260723_194254\step5_manufactured\N300_seed125\manufactured_operator_metrics.json
300,125,on_support,gradient,3.0549339867564906e-05,0.001472190374244035,0.0008587512309367078,1000,reviewer_closure_20260723_194254\step5_manufactured\N300_seed125\manufactured_operator_metrics.json
300,125,on_support,operator_Q,6.167038416879448e-07,0.004049747661488755,4.547623451512891e-06,1000,reviewer_closure_20260723_194254\step5_manufactured\N300_seed125\manufactured_operator_metrics.json
300,125,off_support,density,2.8206376835039143e-05,0.0018667024168665715,0.0006442519738883443,1000,reviewer_closure_20260723_194254\step5_manufactured\N300_seed125\manufactured_operator_metrics.json
300,125,off_support,gradient,6.683886062752752e-05,0.0032855318171677132,0.003420387891514332,1000,reviewer_closure_20260723_194254\step5_manufactured\N300_seed125\manufactured_operator_metrics.json
300,125,off_support,operator_Q,1.2039828024154317e-06,0.00733240571941916,2.1802929942515157e-05,1000,reviewer_closure_20260723_194254\step5_manufactured\N300_seed125\manufactured_operator_metrics.json
600,123,on_support,density,7.426420412310017e-05,0.004942137478427175,0.0006916091880180206,1000,reviewer_closure_20260723_194254\step5_manufactured\N600_seed123\manufactured_operator_metrics.json
600,123,on_support,gradient,0.0001662473400764523,0.008838295055846119,0.002476498381754927,1000,reviewer_closure_20260723_194254\step5_manufactured\N600_seed123\manufactured_operator_metrics.json
600,123,on_support,operator_Q,3.0808299463901796e-06,0.016857308889565773,2.341459257738422e-05,1000,reviewer_closure_20260723_194254\step5_manufactured\N600_seed123\manufactured_operator_metrics.json
600,123,off_support,density,0.00011646809889499149,0.007698754641097434,0.0012993092118380595,1000,reviewer_closure_20260723_194254\step5_manufactured\N600_seed123\manufactured_operator_metrics.json
600,123,off_support,gradient,0.00019691832210511084,0.009836390072800854,0.0028618714024510805,1000,reviewer_closure_20260723_194254\step5_manufactured\N600_seed123\manufactured_operator_metrics.json
600,123,off_support,operator_Q,3.602573083798555e-06,0.020671478938539687,3.670325813567732e-05,1000,reviewer_closure_20260723_194254\step5_manufactured\N600_seed123\manufactured_operator_metrics.json
600,124,on_support,density,0.00018978509247077535,0.013417152898148809,0.00101269513118378,1000,reviewer_closure_20260723_194254\step5_manufactured\N600_seed124\manufactured_operator_metrics.json
600,124,on_support,gradient,0.00036058298395548385,0.018642932827080336,0.002835282438799616,1000,reviewer_closure_20260723_194254\step5_manufactured\N600_seed124\manufactured_operator_metrics.json
600,124,on_support,operator_Q,7.466198059388497e-06,0.04296094054482312,4.1983779968792455e-05,1000,reviewer_closure_20260723_194254\step5_manufactured\N600_seed124\manufactured_operator_metrics.json
600,124,off_support,density,0.00021125562148921324,0.015154006015804853,0.0011816437857978326,1000,reviewer_closure_20260723_194254\step5_manufactured\N600_seed124\manufactured_operator_metrics.json
600,124,off_support,gradient,0.00038628368623594374,0.019701297010679145,0.003739683493082596,1000,reviewer_closure_20260723_194254\step5_manufactured\N600_seed124\manufactured_operator_metrics.json
600,124,off_support,operator_Q,6.901642369334056e-06,0.04300216164407475,4.851043243983121e-05,1000,reviewer_closure_20260723_194254\step5_manufactured\N600_seed124\manufactured_operator_metrics.json
600,125,on_support,density,3.335762322854622e-06,0.00021987904259060788,2.4749021770801433e-05,1000,reviewer_closure_20260723_194254\step5_manufactured\N600_seed125\manufactured_operator_metrics.json
600,125,on_support,gradient,0.00015593327182668922,0.007494828777707211,0.004942442577193983,1000,reviewer_closure_20260723_194254\step5_manufactured\N600_seed125\manufactured_operator_metrics.json
600,125,on_support,operator_Q,5.152700460444094e-06,0.031867654794425396,6.41683620515888e-05,1000,reviewer_closure_20260723_194254\step5_manufactured\N600_seed125\manufactured_operator_metrics.json
600,125,off_support,density,8.991925719363331e-05,0.0058534267885462605,0.001750338392003174,1000,reviewer_closure_20260723_194254\step5_manufactured\N600_seed125\manufactured_operator_metrics.json
600,125,off_support,gradient,0.00019117720501443097,0.009674060586297804,0.007894550727843815,1000,reviewer_closure_20260723_194254\step5_manufactured\N600_seed125\manufactured_operator_metrics.json
600,125,off_support,operator_Q,4.110615556046959e-06,0.02348689892685785,4.1141102262247774e-05,1000,reviewer_closure_20260723_194254\step5_manufactured\N600_seed125\manufactured_operator_metrics.json
1200,123,on_support,density,0.0001414894181189495,0.009914578458451707,0.0008077381006519058,1000,reviewer_closure_20260723_194254\step5_manufactured\N1200_seed123\manufactured_operator_metrics.json
1200,123,on_support,gradient,0.00024485542085679417,0.01250929611689369,0.0022481291065969133,1000,reviewer_closure_20260723_194254\step5_manufactured\N1200_seed123\manufactured_operator_metrics.json
1200,123,on_support,operator_Q,3.6163130206056965e-06,0.02273581627718268,2.2552668687845123e-05,1000,reviewer_closure_20260723_194254\step5_manufactured\N1200_seed123\manufactured_operator_metrics.json
1200,123,off_support,density,0.00015703224434155096,0.010511167410433907,0.0010865182265103607,1000,reviewer_closure_20260723_194254\step5_manufactured\N1200_seed123\manufactured_operator_metrics.json
1200,123,off_support,gradient,0.0002713335368432218,0.013472823795491851,0.0021536584982931595,1000,reviewer_closure_20260723_194254\step5_manufactured\N1200_seed123\manufactured_operator_metrics.json
1200,123,off_support,operator_Q,4.170796033230936e-06,0.0247118416392735,2.906265584519483e-05,1000,reviewer_closure_20260723_194254\step5_manufactured\N1200_seed123\manufactured_operator_metrics.json
1200,124,on_support,density,0.00010454696030121668,0.007962485663142716,0.0007093163182730847,1000,reviewer_closure_20260723_194254\step5_manufactured\N1200_seed124\manufactured_operator_metrics.json
1200,124,on_support,gradient,0.00020262527849024213,0.010210958504251284,0.0016260912710086145,1000,reviewer_closure_20260723_194254\step5_manufactured\N1200_seed124\manufactured_operator_metrics.json
1200,124,on_support,operator_Q,3.3621363547523545e-06,0.024360063445708395,2.8847815172237956e-05,1000,reviewer_closure_20260723_194254\step5_manufactured\N1200_seed124\manufactured_operator_metrics.json
1200,124,off_support,density,0.0001232104069350762,0.00835962941320212,0.0008089709037626933,1000,reviewer_closure_20260723_194254\step5_manufactured\N1200_seed124\manufactured_operator_metrics.json
1200,124,off_support,gradient,0.00023314384146581657,0.011177936381913577,0.00224673055173627,1000,reviewer_closure_20260723_194254\step5_manufactured\N1200_seed124\manufactured_operator_metrics.json
