N,support,quantity,n_seeds,seeds,mean_relative_l2,sd_relative_l2,min_relative_l2,max_relative_l2,note
300,off_support,density,3,123;124;125,0.006254726807777818,0.004475788718228986,0.0018667024168665715,0.010813398832638479,
300,off_support,gradient,3,123;124;125,0.00982676724102884,0.007516701503579863,0.0032855318171677132,0.018038030744871432,
300,off_support,operator_Q,3,123;124;125,0.022988046608735952,0.01754936010972307,0.00733240571941916,0.041958385687855024,
300,on_support,density,3,123;124;125,0.0012793641869757488,0.001816297718470721,0.00022911364971900852,0.003376643315398348,
300,on_support,gradient,3,123;124;125,0.007919541189411624,0.007652832990330407,0.001472190374244035,0.016376724347778617,
300,on_support,operator_Q,3,123;124;125,0.01885153613284256,0.018514140412840167,0.004049747661488755,0.0396110863175038,
600,off_support,density,3,123;124;125,0.009568729148482849,0.004924205213466637,0.0058534267885462605,0.015154006015804853,
600,off_support,gradient,3,123;124;125,0.0130705825565926,0.005742940740097467,0.009674060586297804,0.019701297010679145,
600,off_support,operator_Q,3,123;124;125,0.029053513169824092,0.012161629953312865,0.020671478938539687,0.04300216164407475,
600,on_support,density,3,123;124;125,0.00619305647305553,0.006686973011235466,0.00021987904259060788,0.013417152898148809,
600,on_support,gradient,3,123;124;125,0.011658685553544554,0.006085721641148492,0.007494828777707211,0.018642932827080336,
600,on_support,operator_Q,3,123;124;125,0.03056196807627143,0.01310070646006585,0.016857308889565773,0.04296094054482312,
1200,off_support,density,3,123;124;125,0.00848790656331364,0.0019622694380053273,0.006592922866304895,0.010511167410433907,
1200,off_support,gradient,3,123;124;125,0.011452155386395997,0.0018984707536346085,0.009705705981782563,0.013472823795491851,
1200,off_support,operator_Q,3,123;124;125,0.024968278008999284,0.0011998956156512683,0.023917331328514445,0.026275661059209907,
1200,on_support,density,3,123;124;125,0.007770731979660298,0.0022458712471743482,0.005435131817386471,0.009914578458451707,
1200,on_support,gradient,3,123;124;125,0.010012238477362113,0.0026021148832250612,0.007316460810941364,0.01250929611689369,
1200,on_support,operator_Q,3,123;124;125,0.021892872740802233,0.002979477510843051,0.018582738499515625,0.024360063445708395,
2400,off_support,density,3,123;124;125,0.00798224994269778,0.0007195653227935208,0.007176939643566909,0.008562051205266734,
2400,off_support,gradient,3,123;124;125,0.011317198027876937,0.000864254765941842,0.010785540375455156,0.012314423740818424,
2400,off_support,operator_Q,3,123;124;125,0.023271905368525598,0.0024960883307928576,0.021108608262968825,0.026002967811125925,
2400,on_support,density,3,123;124;125,0.0068144240442143955,0.0009553134259785435,0.005756011611291659,0.007612788361484177,
2400,on_support,gradient,3,123;124;125,0.010744019785468512,0.0005145350207684698,0.010277483102053014,0.01129588494114018,
2400,on_support,operator_Q,3,123;124;125,0.02151451269721272,0.002591974634465389,0.019994576283662645,0.02450734397184154,
-1,CONFLICT,,11,,,,,,N=1200 seed=123: reviewer_closure_20260723_194254\step5_manufactured\N1200_seed123\manufactured_operator_metrics.json vs reviewer_closure_20260726_174927\step5_manufactured\N1200_seed123\manufactured_operator_metrics.json | N=1200 seed=124: reviewer_closure_20260723_194254\step5_manufactured\N1200_seed124\manufactured_operator_metrics.json vs reviewer_closure_20260726_174927\step5_manufactured\N1200_seed124\manufactured_operator_metrics.json | N=1200 seed=125: reviewer_closure_20260723_194254\step5_manufactured\N1200_seed125\manufactured_operator_metrics.json vs reviewer_closure_20260726_174927\step5_manufactured\N1200_seed125\manufactured_operator_metrics.json | N=2400 seed=123: reviewer_closure_20260723_194254\step5_manufactured\N2400_seed123\manufactured_operator_metrics.json vs reviewer_closure_20260726_174927\step5_manufactured\N2400_seed123\manufactured_operator_metrics.json | N=300 seed=123: reviewer_closure_20260723_194254\step5_manufactured\N300_seed123\manufactured_operator_metrics.json vs reviewer_closure_20260726_174927\step5_manufactured\N300_seed123\manufactured_operator_metrics.json | N=300 seed=124: reviewer_closure_20260723_194254\step5_manufactured\N300_seed124\manufactured_operator_metrics.json vs reviewer_closure_20260726_174927\step5_manufactured\N300_seed124\manufactured_operator_metrics.json | N=300 seed=125: reviewer_closure_20260723_194254\step5_manufactured\N300_seed125\manufactured_operator_metrics.json vs reviewer_closure_20260726_174927\step5_manufactured\N300_seed125\manufactured_operator_metrics.json | N=600 seed=123: reviewer_closure_20260723_194254\step5_manufactured\N600_seed123\manufactured_operator_metrics.json vs reviewer_closure_20260726_174927\step5_manufactured\N600_seed123\manufactured_operator_metrics.json | N=600 seed=124: reviewer_closure_20260723_194254\step5_manufactured\N600_seed124\manufactured_operator_metrics.json vs reviewer_closure_20260726_174927\step5_manufactured\N600_seed124\manufactured_operator_metrics.json | N=600 seed=125: reviewer_closure_20260723_194254\step5_manufactured\N600_seed125\manufactured_operator_metrics.json vs reviewer_closure_20260726_174927\step5_manufactured\N600_seed125\manufactured_operator_metrics.json | N=600 seed=123: reviewer_closure_20260723_194254\step5_manufactured\N600_seed123\manufactured_operator_metrics.json vs validation\manufactured\manufactured_operator_metrics.json
