key,method,momentum_P0,refine_mode,observable,coarse,fine,finer,diff_coarse_fine,diff_fine_finer,p_obs_reported,p_obs_guarded,guard_verdict,n_grid_coarse,n_grid_fine,n_grid_finer,dt_coarse,dt_fine,dt_finer,t_final,boundary_rule,source
tdse_P020_both,tdse,20,both,P0,0.9999787335391701,0.9999787335472097,0.9999787335494058,8.039569010520609e-12,2.196132165011022e-12,1.8721532832054133,1.8721532832054133,ok,2048,4096,8192,0.2,0.1,0.05,40.0,periodic (split-operator FFT),thesis_closure_out\reference_convergence_3level.json
tdse_P020_both,tdse,20,both,P1,2.1266460897452083e-05,2.1266452876099573e-05,2.1266450870779032e-05,8.021352509892787e-12,2.0053205413751458e-12,2.0000126519749206,2.0000126519749206,ok,2048,4096,8192,0.2,0.1,0.05,40.0,periodic (split-operator FFT),thesis_closure_out\reference_convergence_3level.json
tdse_P020_both,tdse,20,both,trace,1.0000000000000675,1.0000000000000857,1.0000000000002767,1.8207657603852567e-14,1.9095836023552692e-13,-3.3906408449713763,,REJECTED: coarse-to-fine difference 1.821e-14 at or below roundoff floor 2.220e-14,2048,4096,8192,0.2,0.1,0.05,40.0,periodic (split-operator FFT),thesis_closure_out\reference_convergence_3level.json
tdse_P020_both,tdse,20,both,energy,0.1000625000010058,0.10006250000025833,0.10006250000009019,7.474715291166945e-13,1.6814327707947996e-13,2.15232753236507,2.15232753236507,ok,2048,4096,8192,0.2,0.1,0.05,40.0,periodic (split-operator FFT),thesis_closure_out\reference_convergence_3level.json
tdse_P020_both,tdse,20,both,R_mean,-9.599999923735568,-9.599999923734641,-9.59999992373441,9.272582701669307e-13,2.3092638912203256e-13,2.00553818354143,2.00553818354143,ok,2048,4096,8192,0.2,0.1,0.05,40.0,periodic (split-operator FFT),thesis_closure_out\reference_convergence_3level.json
tdse_P020_both,tdse,20,both,P_mean,20.000015315022946,20.000015315019056,20.00001531501809,3.8902214782865485e-12,9.663381206337363e-13,2.0092523132381963,2.0092523132381963,ok,2048,4096,8192,0.2,0.1,0.05,40.0,periodic (split-operator FFT),thesis_closure_out\reference_convergence_3level.json
qcle_P020_both,qcle,20,both,P0,0.9999788598779626,0.9999787334950522,0.9999787334950622,1.263829104702907e-07,9.992007221626409e-15,NOT COMPUTED,,REJECTED: fine-to-finer difference 9.992e-15 at or below roundoff floor 2.220e-14,24576,98304,393216,0.2,0.1,0.05,40.0,periodic (pseudospectral rfft),thesis_closure_out\reference_convergence_3level.json
qcle_P020_both,qcle,20,both,P1,2.1263070006424956e-05,2.1266504948085036e-05,2.1266504937877497e-05,3.4349416600803367e-09,1.0207539837252949e-14,18.360290872569493,,REJECTED: fine-to-finer difference 1.021e-14 at or below roundoff floor 2.220e-14,24576,98304,393216,0.2,0.1,0.05,40.0,periodic (pseudospectral rfft),thesis_closure_out\reference_convergence_3level.json
qcle_P020_both,qcle,20,both,trace,1.0000001229479691,1.0000000000000002,1.0,1.2294796891687554e-07,2.220446049250313e-16,NOT COMPUTED,,REJECTED: fine-to-finer difference 2.220e-16 at or below roundoff floor 2.220e-14,24576,98304,393216,0.2,0.1,0.05,40.0,periodic (pseudospectral rfft),thesis_closure_out\reference_convergence_3level.json
qcle_P020_both,qcle,20,both,energy,0.10006251008038967,0.10006250000000085,0.10006250000000001,1.008038882921447e-08,8.326672684688674e-16,NOT COMPUTED,,REJECTED: fine-to-finer difference 8.327e-16 at or below roundoff floor 2.220e-14,24576,98304,393216,0.2,0.1,0.05,40.0,periodic (pseudospectral rfft),thesis_closure_out\reference_convergence_3level.json
qcle_P020_both,qcle,20,both,R_mean,-9.599999947290632,-9.599999923733865,-9.59999992373397,2.3556767203558593e-08,1.0480505352461478e-13,17.778073757048645,,REJECTED: fine-to-finer difference 1.048e-13 at or below roundoff floor 2.132e-13,24576,98304,393216,0.2,0.1,0.05,40.0,periodic (pseudospectral rfft),thesis_closure_out\reference_convergence_3level.json
qcle_P020_both,qcle,20,both,P_mean,20.000012419801653,20.000015315133073,20.00001531511784,2.895331419949798e-06,1.5234036254696548e-11,17.536070738882124,17.536070738882124,ok,24576,98304,393216,0.2,0.1,0.05,40.0,periodic (pseudospectral rfft),thesis_closure_out\reference_convergence_3level.json
tdse_P020_time,tdse,20,time,P0,0.9999787335391727,0.9999787335472576,0.9999787335494058,8.084977132227777e-12,2.1481705303472154e-12,1.912135168388673,1.912135168388673,ok,8192,8192,8192,0.2,0.1,0.05,40.0,periodic (split-operator FFT),thesis_closure_out\reference_convergence_3level.json
tdse_P020_time,tdse,20,time,P1,2.1266460897452252e-05,2.12664528761012e-05,2.1266450870779032e-05,8.021351052996117e-12,2.0053221676784045e-12,2.000011219925293,2.000011219925293,ok,8192,8192,8192,0.2,0.1,0.05,40.0,periodic (split-operator FFT),thesis_closure_out\reference_convergence_3level.json
tdse_P020_time,tdse,20,time,trace,1.0000000000000702,1.0000000000001337,1.0000000000002767,6.350475700855895e-14,1.4299672557172016e-13,-1.1710455413362275,-1.1710455413362275,ok,8192,8192,8192,0.2,0.1,0.05,40.0,periodic (split-operator FFT),thesis_closure_out\reference_convergence_3level.json
tdse_P020_time,tdse,20,time,energy,0.10006250000100611,0.10006250000026315,0.10006250000009019,7.429612480791548e-13,1.7295886944879157e-13,2.1028579655805397,2.1028579655805397,ok,8192,8192,8192,0.2,0.1,0.05,40.0,periodic (split-operator FFT),thesis_closure_out\reference_convergence_3level.json
tdse_P020_time,tdse,20,time,R_mean,-9.599999923735568,-9.599999923734641,-9.59999992373441,9.272582701669307e-13,2.3092638912203256e-13,2.00553818354143,2.00553818354143,ok,8192,8192,8192,0.2,0.1,0.05,40.0,periodic (split-operator FFT),thesis_closure_out\reference_convergence_3level.json
